Mesa Laboratories Price to Free Cash Flow Ratio Historical Data,Mesa Laboratories Price to Free Cash Flow Ratio Historical Data,Mesa Laboratories Price to Free Cash Flow Ratio Historical Data,Mesa Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,123.5,,15.54
2024-12-31,131.87,$7.95,16.59
2024-09-30,129.68,$6.61,19.63
2024-06-30,86.55,$7.68,11.27
2024-03-31,109.27,$7.72,14.16
2023-12-31,104.17,$7.56,13.78
2023-09-30,104.28,$6.77,15.41
2023-06-30,127.39,$6.75,18.88
2023-03-31,173.01,$4.37,39.57
2022-12-31,164.43,$3.73,44.09
2022-09-30,139.18,$5.29,26.3
2022-06-30,201.37,$4.26,47.27
2022-03-31,251.48,$6.52,38.56
2021-12-31,323.52,$7.46,43.38
2021-09-30,297.99,$6.90,43.18
2021-06-30,267.1,$8.09,33.0
2021-03-31,239.69,$6.85,35.01
2020-12-31,281.99,$6.30,44.75
2020-09-30,250.48,$6.58,38.08
2020-06-30,213.02,$6.15,34.63
2020-03-31,222.01,$5.84,38.05
2019-12-31,244.74,$6.49,37.71
2019-09-30,233.17,$6.48,35.97
2019-06-30,239.43,$6.38,37.54
2019-03-31,225.73,$7.81,28.89
2018-12-31,203.94,$7.77,26.26
2018-09-30,181.65,$7.59,23.93
2018-06-30,206.4,$7.64,27.02
2018-03-31,145.01,$6.38,22.73
2017-12-31,121.28,$6.03,20.1
2017-09-30,145.52,$4.53,32.16
2017-06-30,139.5,$1.74,80.35
2017-03-31,119.31,$1.48,80.47
2016-12-31,119.21,$0.80,148.36
2016-09-30,110.92,$0.01,0.0
2016-06-30,119.13,$2.17,54.94
2016-03-31,93.17,$2.44,38.16
2015-12-31,96.05,$2.07,46.38
2015-09-30,107.37,$2.45,43.83
2015-06-30,85.56,$2.50,34.24
2015-03-31,69.37,$2.19,31.7
2014-12-31,74.12,$1.84,40.25
2014-09-30,55.27,$2.58,21.44
2014-06-30,80.15,$2.66,30.16
2014-03-31,85.99,$3.32,25.89
2013-12-31,74.74,$3.28,22.76
2013-09-30,64.19,$3.16,20.34
2013-06-30,51.28,$2.68,19.12
2013-03-31,49.86,$2.92,17.07
2012-12-31,47.22,$3.22,14.66
2012-09-30,45.46,$3.46,13.12
2012-06-30,43.56,$3.53,12.34
2012-03-31,46.09,$3.41,13.51
2011-12-31,38.63,$2.93,13.17
2011-09-30,32.84,$2.62,12.55
2011-06-30,29.25,$2.59,11.3
2011-03-31,26.56,$1.87,14.21
2010-12-31,27.55,$1.64,16.79
2010-09-30,21.03,$1.28,16.46
2010-06-30,21.87,$1.10,19.96
2010-03-31,23.5,$1.64,14.35
2009-12-31,23.29,$2.68,8.68
