Wintrust Financial Price to Free Cash Flow Ratio Historical Data,Wintrust Financial Price to Free Cash Flow Ratio Historical Data,Wintrust Financial Price to Free Cash Flow Ratio Historical Data,Wintrust Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,114.04,,11.61
2024-12-31,124.71,$9.82,12.7
2024-09-30,108.15,$6.22,17.39
2024-06-30,97.76,$8.68,11.26
2024-03-31,103.09,$11.25,9.16
2023-12-31,91.14,$11.24,8.11
2023-09-30,73.82,$12.98,5.69
2023-06-30,70.66,$14.82,4.77
2023-03-31,70.53,$15.20,4.64
2022-12-31,81.37,$21.99,3.7
2022-09-30,78.23,$22.86,3.42
2022-06-30,76.58,$21.16,3.62
2022-03-31,88.43,$22.65,3.9
2021-12-31,86.14,$18.58,4.64
2021-09-30,75.97,$10.45,7.27
2021-06-30,71.18,$8.02,8.88
2021-03-31,71.06,$0.55,129.39
2020-12-31,57.01,$-10.03,0.0
2020-09-30,37.18,$-3.74,0.0
2020-06-30,40.23,$-3.68,0.0
2020-03-31,30.07,$-5.00,0.0
2019-12-31,64.61,$3.19,20.24
2019-09-30,58.68,$0.47,125.95
2019-06-30,66.43,$4.02,16.52
2019-03-31,61.13,$6.51,9.39
2018-12-31,60.16,$5.40,11.14
2018-09-30,76.67,$7.75,9.89
2018-06-30,78.41,$5.50,14.25
2018-03-31,77.35,$4.10,18.86
2017-12-31,73.87,$6.04,12.23
2017-09-30,70.1,$9.02,7.77
2017-06-30,68.3,$9.06,7.54
2017-03-31,61.64,$6.12,10.07
2016-12-31,64.59,$5.10,12.65
2016-09-30,49.35,$-1.74,0.0
2016-06-30,45.19,$-0.39,0.0
2016-03-31,39.2,$3.56,11.03
2015-12-31,42.77,$-0.09,0.0
2015-09-30,47.0,$0.43,109.14
2015-06-30,46.86,$-0.73,0.0
2015-03-31,41.76,$-2.28,0.0
2014-12-31,40.85,$3.31,12.35
2014-09-30,38.94,$3.63,10.74
2014-06-30,40.01,$7.29,5.49
2014-03-31,42.23,$6.16,6.85
2013-12-31,39.94,$5.00,7.99
2013-09-30,35.56,$8.01,4.44
2013-06-30,33.07,$11.97,2.76
2013-03-31,32.0,$5.78,5.53
2012-12-31,31.63,$4.05,7.82
2012-09-30,32.38,$-1.45,0.0
2012-06-30,30.52,$-11.85,0.0
2012-03-31,30.77,$-4.07,0.0
2011-12-31,24.05,$3.75,6.41
2011-09-30,22.13,$2.49,8.88
2011-06-30,27.51,$4.82,5.7
2011-03-31,31.41,$5.06,6.21
2010-12-31,28.16,$2.96,9.51
2010-09-30,27.63,$2.70,10.22
2010-06-30,28.34,$2.91,9.72
2010-03-31,31.63,$-20.92,0.0
2009-12-31,26.1,$-32.62,0.0
