Fidelis Insurance Holdings Price to Free Cash Flow Ratio Historical Data,Fidelis Insurance Holdings Price to Free Cash Flow Ratio Historical Data,Fidelis Insurance Holdings Price to Free Cash Flow Ratio Historical Data,Fidelis Insurance Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.64,,2.95
2024-12-31,18.13,$5.31,3.42
2024-09-30,18.06,$6.02,3.0
2024-06-30,16.31,$4.41,3.7
2024-03-31,19.48,$3.97,4.9
