AZUL Price to Free Cash Flow Ratio Historical Data,AZUL Price to Free Cash Flow Ratio Historical Data,AZUL Price to Free Cash Flow Ratio Historical Data,AZUL Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.85,,0.44
2024-09-30,3.44,$4.22,0.81
2024-06-30,4.0,$3.43,1.16
2024-03-31,7.77,$2.69,2.89
2023-12-31,9.69,$4.89,1.98
2023-09-30,8.59,$4.48,1.92
2023-06-30,13.69,$4.50,3.04
2023-03-31,7.15,$4.81,1.49
2022-12-31,6.11,$2.85,2.15
2022-09-30,8.14,$-1.03,0.0
2022-06-30,7.1,$-0.97,0.0
2022-03-31,15.05,$-1.81,0.0
2021-12-31,13.2,$-1.50,0.0
2021-09-30,20.06,$0.34,58.36
2021-06-30,26.4,$0.69,38.11
2021-03-31,20.19,$0.99,20.43
2020-12-31,22.82,$1.15,19.76
2020-09-30,13.16,$2.96,4.45
2020-06-30,11.18,$2.43,4.61
2020-03-31,10.19,$3.03,3.36
2019-12-31,42.8,$2.73,15.66
2019-09-30,35.82,$0.74,48.64
2019-06-30,33.44,$1.50,22.29
2019-03-31,29.21,$0.54,53.96
2018-12-31,27.69,$0.13,220.81
2018-09-30,17.79,$-0.28,0.0
2018-06-30,16.36,$0.13,124.51
2018-03-31,34.75,$-1.20,0.0
