Zentalis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Zentalis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Zentalis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Zentalis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.82,,0.0
2024-09-30,3.68,$-2.66,0.0
2024-06-30,4.09,$-2.29,0.0
2024-03-31,15.76,$-3.09,0.0
2023-12-31,15.15,$-3.19,0.0
2023-09-30,20.06,$-3.25,0.0
2023-06-30,28.21,$-3.43,0.0
2023-03-31,17.2,$-2.86,0.0
2022-12-31,20.14,$-3.15,0.0
2022-09-30,21.66,$-3.31,0.0
2022-06-30,28.1,$-3.51,0.0
2022-03-31,46.14,$-3.93,0.0
2021-12-31,84.06,$-3.75,0.0
2021-09-30,66.64,$-4.26,0.0
2021-06-30,53.2,$-4.06,0.0
2021-03-31,43.39,$-4.05,0.0
