Neuraxis Price to Free Cash Flow Ratio Historical Data,Neuraxis Price to Free Cash Flow Ratio Historical Data,Neuraxis Price to Free Cash Flow Ratio Historical Data,Neuraxis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.27,,0.0
2024-12-31,2.35,$-0.89,0.0
2024-09-30,2.98,$-1.55,0.0
2024-06-30,2.78,$-2.50,0.0
