UNIVERSAL INSURANCE HOLDINGS INC Price to Free Cash Flow Ratio Historical Data,UNIVERSAL INSURANCE HOLDINGS INC Price to Free Cash Flow Ratio Historical Data,UNIVERSAL INSURANCE HOLDINGS INC Price to Free Cash Flow Ratio Historical Data,UNIVERSAL INSURANCE HOLDINGS INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.78,,4.9
2024-12-31,21.06,$4.44,4.74
2024-09-30,21.87,$8.13,2.69
2024-06-30,18.36,$7.40,2.48
2024-03-31,19.73,$6.59,2.99
2023-12-31,15.39,$2.22,6.93
2023-09-30,13.27,$5.54,2.4
2023-06-30,14.45,$3.21,4.51
2023-03-31,16.89,$9.67,1.75
2022-12-31,9.74,$10.40,0.94
2022-09-30,8.82,$5.84,1.51
2022-06-30,11.52,$6.62,1.74
2022-03-31,11.78,$4.70,2.51
2021-12-31,14.65,$7.56,1.94
2021-09-30,11.03,$4.23,2.61
2021-06-30,11.61,$2.89,4.02
2021-03-31,11.86,$1.05,11.25
2020-12-31,12.38,$0.39,32.14
2020-09-30,11.12,$5.79,1.92
2020-06-30,14.13,$6.37,2.22
2020-03-31,14.13,$2.68,5.27
2019-12-31,21.9,$2.14,10.23
2019-09-30,23.23,$1.55,15.02
2019-06-30,21.49,$3.30,6.51
2019-03-31,23.75,$5.52,4.3
2018-12-31,28.91,$6.24,4.63
2018-09-30,36.76,$4.86,7.57
2018-06-30,26.58,$7.20,3.69
2018-03-31,23.94,$6.19,3.87
2017-12-31,20.43,$6.71,3.04
2017-09-30,17.01,$6.28,2.71
2017-06-30,18.51,$2.84,6.52
2017-03-31,17.9,$3.95,4.53
2016-12-31,20.64,$3.18,6.5
2016-09-30,18.11,$4.36,4.15
2016-06-30,13.28,$4.40,3.02
2016-03-31,12.63,$5.49,2.3
2015-12-31,16.32,$5.78,2.82
2015-09-30,20.52,$5.70,3.6
2015-06-30,16.74,$6.05,2.77
2015-03-31,17.61,$3.90,4.51
2014-12-31,14.0,$3.25,4.31
2014-09-30,8.74,$2.79,3.13
2014-06-30,8.7,$1.89,4.61
2014-03-31,8.46,$1.37,6.19
2013-12-31,9.56,$4.12,2.32
2013-09-30,4.6,$5.05,0.91
2013-06-30,4.61,$5.23,0.88
2013-03-31,3.12,$4.70,0.66
2012-12-31,2.77,$3.44,0.8
2012-09-30,2.37,$3.20,0.74
2012-06-30,2.06,$1.15,1.79
2012-03-31,2.29,$2.11,1.08
2011-12-31,2.05,$2.73,0.75
2011-09-30,2.12,$-0.33,0.0
2011-06-30,2.53,$2.28,1.11
2011-03-31,2.93,$1.42,2.06
2010-12-31,2.55,$-0.14,0.0
2010-09-30,2.3,$1.83,1.25
2010-06-30,2.14,$0.30,7.23
2010-03-31,2.54,$0.29,8.72
2009-12-31,2.88,$0.49,5.85
