Senseonics Holdings Price to Free Cash Flow Ratio Historical Data,Senseonics Holdings Price to Free Cash Flow Ratio Historical Data,Senseonics Holdings Price to Free Cash Flow Ratio Historical Data,Senseonics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.72,,0.0
2024-12-31,0.52,$-0.10,0.0
2024-09-30,0.35,$-0.11,0.0
2024-06-30,0.4,$-0.11,0.0
2024-03-31,0.53,$-0.12,0.0
2023-12-31,0.57,$-0.12,0.0
2023-09-30,0.6,$-0.10,0.0
2023-06-30,0.76,$-0.12,0.0
2023-03-31,0.71,$-0.11,0.0
2022-12-31,1.03,$-0.11,0.0
2022-09-30,1.32,$-0.16,0.0
2022-06-30,1.03,$-0.12,0.0
2022-03-31,1.97,$-0.12,0.0
2021-12-31,2.67,$-0.13,0.0
2021-09-30,3.39,$-0.12,0.0
2021-06-30,3.84,$-0.16,0.0
2021-03-31,2.64,$-0.20,0.0
2020-12-31,0.87,$-0.30,0.0
2020-09-30,0.39,$-0.46,0.0
2020-06-30,0.39,$-0.56,0.0
2020-03-31,0.63,$-0.70,0.0
2019-12-31,0.92,$-0.73,0.0
2019-09-30,0.99,$-0.72,0.0
2019-06-30,2.04,$-0.67,0.0
2019-03-31,2.45,$-0.61,0.0
2018-12-31,2.59,$-0.58,0.0
2018-09-30,4.77,$-0.56,0.0
2018-06-30,4.11,$-0.54,0.0
2018-03-31,3.0,$-0.51,0.0
2017-12-31,2.66,$-0.48,0.0
2017-09-30,3.19,$-0.44,0.0
2017-06-30,1.8,$-0.48,0.0
2017-03-31,1.79,$-0.46,0.0
2016-12-31,2.67,$-0.43,0.0
