Peakstone Realty Trust Price to Free Cash Flow Ratio Historical Data,Peakstone Realty Trust Price to Free Cash Flow Ratio Historical Data,Peakstone Realty Trust Price to Free Cash Flow Ratio Historical Data,Peakstone Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.57,,0.0
2024-12-31,11.07,$-3.33,0.0
2024-09-30,13.63,$5.93,2.3
2024-06-30,10.6,$5.30,2.0
2024-03-31,16.13,$13.17,1.22
