Sequans Communications S.A Price to Free Cash Flow Ratio Historical Data,Sequans Communications S.A Price to Free Cash Flow Ratio Historical Data,Sequans Communications S.A Price to Free Cash Flow Ratio Historical Data,Sequans Communications S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.4,,0.0
2024-09-30,2.98,$-0.93,0.0
2024-03-31,0.96,$-1.78,0.0
2023-12-31,7.08,$-1.39,0.0
2023-09-30,7.08,$-0.72,0.0
2023-06-30,5.58,$-0.87,0.0
2023-03-31,5.0,$-0.68,0.0
2022-12-31,8.3,$-0.94,0.0
2022-09-30,8.93,$-1.89,0.0
2022-06-30,6.73,$-2.52,0.0
2022-03-31,7.6,$-2.78,0.0
2021-12-31,11.85,$-1.90,0.0
2021-09-30,10.98,$-1.64,0.0
2021-06-30,15.05,$-1.45,0.0
2021-03-31,15.1,$-0.91,0.0
2020-12-31,15.1,$-2.37,0.0
2020-09-30,14.93,$-0.37,0.0
2020-06-30,15.35,$0.14,109.17
2020-03-31,12.73,$-0.41,0.0
2019-12-31,7.5,$-0.06,0.0
2019-09-30,8.68,$-2.55,0.0
2019-06-30,8.9,$-2.55,0.0
2019-03-31,11.02,$-2.74,0.0
2018-12-31,7.8,$-2.84,0.0
2018-09-30,14.2,$-3.37,0.0
2018-06-30,20.4,$-3.70,0.0
2018-03-31,16.8,$-3.35,0.0
2017-12-31,19.1,$-3.97,0.0
2017-09-30,31.4,$-3.30,0.0
2017-06-30,33.1,$-4.26,0.0
2017-03-31,27.5,$-4.42,0.0
2016-12-31,18.7,$-2.45,0.0
2016-09-30,17.7,$-1.99,0.0
2016-06-30,20.5,$-0.85,0.0
2016-03-31,27.2,$-1.42,0.0
2015-12-31,21.0,$-2.77,0.0
2015-09-30,10.5,$-3.65,0.0
2015-06-30,17.1,$-4.52,0.0
2015-03-31,16.8,$-4.33,0.0
2014-12-31,11.9,$-5.18,0.0
2014-09-30,19.8,$-3.49,0.0
2014-06-30,17.2,$-4.42,0.0
2014-03-31,28.2,$-5.00,0.0
2013-12-31,20.0,$-5.62,0.0
2013-09-30,24.5,$-9.73,0.0
2013-06-30,15.1,$-7.37,0.0
2013-03-31,15.9,$-8.21,0.0
2012-12-31,23.4,$-8.31,0.0
2012-09-30,16.9,$-5.99,0.0
2012-06-30,22.3,$-5.39,0.0
2012-03-31,26.6,$-4.66,0.0
