Gossamer Bio Price to Free Cash Flow Ratio Historical Data,Gossamer Bio Price to Free Cash Flow Ratio Historical Data,Gossamer Bio Price to Free Cash Flow Ratio Historical Data,Gossamer Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.35,,0.0
2024-12-31,0.9,$-0.02,0.0
2024-09-30,0.99,$-0.25,0.0
2024-06-30,0.9,$0.18,4.96
2024-03-31,1.18,$-0.72,0.0
2023-12-31,0.91,$-1.04,0.0
2023-09-30,0.83,$-1.34,0.0
2023-06-30,1.2,$-1.83,0.0
2023-03-31,1.26,$-2.07,0.0
2022-12-31,2.17,$-2.22,0.0
2022-09-30,11.98,$-2.08,0.0
2022-06-30,8.37,$-2.45,0.0
2022-03-31,8.68,$-2.45,0.0
2021-12-31,11.31,$-2.54,0.0
2021-09-30,12.57,$-2.64,0.0
2021-06-30,8.12,$-2.60,0.0
2021-03-31,9.25,$-2.55,0.0
2020-12-31,9.67,$-2.60,0.0
2020-09-30,12.41,$-2.95,0.0
2020-06-30,13.0,$-3.04,0.0
2020-03-31,10.15,$-2.78,0.0
2019-12-31,15.63,$-2.70,0.0
