Alaunos Therapeutics Price to Free Cash Flow Ratio Historical Data,Alaunos Therapeutics Price to Free Cash Flow Ratio Historical Data,Alaunos Therapeutics Price to Free Cash Flow Ratio Historical Data,Alaunos Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.46,,0.0
2024-09-30,3.22,$-6.42,0.0
2024-06-30,6.99,$-9.91,0.0
2024-03-31,18.1,$-13.32,0.0
2023-12-31,10.61,$-18.00,0.0
2023-09-30,19.77,$-19.17,0.0
2023-06-30,76.5,$-19.49,0.0
2023-03-31,94.5,$-20.77,0.0
2022-12-31,97.37,$-20.33,0.0
2022-09-30,258.0,$-26.33,0.0
2022-06-30,186.0,$-28.97,0.0
2022-03-31,97.86,$-39.51,0.0
2021-12-31,163.5,$-45.31,0.0
2021-09-30,273.0,$-49.83,0.0
2021-06-30,396.0,$-55.62,0.0
2021-03-31,540.0,$-51.18,0.0
2020-12-31,378.0,$-47.77,0.0
2020-09-30,378.0,$-43.26,0.0
2020-06-30,492.0,$-39.24,0.0
2020-03-31,367.5,$-34.98,0.0
2019-12-31,708.0,$-36.72,0.0
2019-09-30,642.0,$-37.39,0.0
2019-06-30,874.5,$-37.86,0.0
2019-03-31,577.5,$-41.30,0.0
2018-12-31,280.5,$-52.07,0.0
2018-09-30,480.0,$-55.39,0.0
2018-06-30,453.0,$-58.67,0.0
2018-03-31,588.0,$-64.21,0.0
2017-12-31,621.0,$-60.66,0.0
2017-09-30,921.0,$-60.97,0.0
2017-06-30,933.0,$-64.95,0.0
2017-03-31,951.0,$-65.78,0.0
2016-12-31,802.5,$-67.70,0.0
2016-09-30,844.5,$-80.51,0.0
2016-06-30,823.5,$-11.60,0.0
2016-03-31,1113.0,$-6.34,0.0
2015-12-31,1246.5,$-0.50,0.0
2015-09-30,1350.0,$13.11,102.95
2015-06-30,1800.0,$-55.18,0.0
2015-03-31,1615.5,$-54.54,0.0
2014-12-31,760.5,$-54.62,0.0
2014-09-30,396.0,$-53.12,0.0
2014-06-30,604.5,$-65.21,0.0
2014-03-31,687.0,$-83.79,0.0
2013-12-31,651.0,$-104.04,0.0
2013-09-30,591.0,$-132.55,0.0
2013-06-30,316.5,$-133.24,0.0
2013-03-31,274.5,$-135.07,0.0
2012-12-31,624.0,$-153.45,0.0
2012-09-30,817.5,$-145.93,0.0
2012-06-30,892.5,$-142.27,0.0
2012-03-31,810.0,$-121.58,0.0
2011-12-31,661.5,$-90.84,0.0
2011-09-30,661.5,$-77.40,0.0
2011-06-30,918.0,$-71.73,0.0
2011-03-31,937.5,$-71.44,0.0
2010-12-31,699.0,$-64.79,0.0
2010-09-30,562.5,$-62.86,0.0
2010-06-30,477.0,$-56.86,0.0
2010-03-31,762.0,$-61.56,0.0
2009-12-31,444.0,$-79.84,0.0
