Nuburu Price to Free Cash Flow Ratio Historical Data,Nuburu Price to Free Cash Flow Ratio Historical Data,Nuburu Price to Free Cash Flow Ratio Historical Data,Nuburu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.24,,0.02
2024-09-30,0.51,$14.29,0.04
2024-06-30,0.09,$7.80,0.01
2024-03-31,0.14,$-0.45,0.0
2023-12-31,0.15,$-0.57,0.0
2023-09-30,0.35,"$2,169.04",0.0
2023-06-30,0.68,"$1,410.60",0.0
2023-03-31,2.67,$613.86,0.0
2022-12-31,8.33,$-1.97,0.0
2022-09-30,10.07,"$-2,228.21",0.0
2022-06-30,9.95,"$-1,612.76",0.0
2022-03-31,9.9,$-899.05,0.0
2021-12-31,9.84,$-334.94,0.0
2021-09-30,9.78,$-294.01,0.0
