Bit Digital Price to Free Cash Flow Ratio Historical Data,Bit Digital Price to Free Cash Flow Ratio Historical Data,Bit Digital Price to Free Cash Flow Ratio Historical Data,Bit Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.4,,0.0
2024-12-31,2.93,$-0.75,0.0
2024-09-30,3.51,$-0.62,0.0
2024-06-30,3.18,$-0.83,0.0
2024-03-31,2.87,$-0.91,0.0
2023-12-31,4.23,$-0.75,0.0
2023-09-30,2.14,$-0.10,0.0
2023-06-30,4.06,$-0.33,0.0
2023-03-31,1.54,$-0.36,0.0
2022-12-31,0.6,$-0.34,0.0
2022-09-30,1.2,$-0.77,0.0
2022-06-30,1.31,$-0.52,0.0
2022-03-31,3.6,$-0.36,0.0
2021-12-31,6.08,$-0.43,0.0
2021-09-30,7.23,$0.23,30.94
2021-06-30,6.84,$-0.36,0.0
2021-03-31,15.02,$-0.33,0.0
2020-12-31,21.91,$-0.30,0.0
2020-09-30,4.11,$-0.65,0.0
2020-03-31,0.55,$-0.01,0.0
2019-12-31,0.4,0,0.0
