NextTrip Price to Free Cash Flow Ratio Historical Data,NextTrip Price to Free Cash Flow Ratio Historical Data,NextTrip Price to Free Cash Flow Ratio Historical Data,NextTrip Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.55,,2.24
2024-11-30,3.82,$2.03,1.88
2024-08-31,2.59,$-26.85,0.0
2024-05-31,2.37,$-9.77,0.0
2024-02-29,2.99,$-25.20,0.0
2023-11-30,3.71,$-23.17,0.0
2023-09-30,3.06,$-4.48,0.0
2023-08-31,4.56,$-23.31,0.0
2023-06-30,6.98,$-76.81,0.0
2023-05-31,7.27,$-85.12,0.0
2023-03-31,8.8,$-79.98,0.0
2023-02-28,11.9,$-81.89,0.0
2022-12-31,8.0,$-15.96,0.0
2022-09-30,16.3,$-16.17,0.0
2022-06-30,25.6,$-15.24,0.0
2022-03-31,40.8,$-14.01,0.0
2021-12-31,36.8,$-13.19,0.0
2021-09-30,60.4,$-18.82,0.0
2021-06-30,78.0,$-16.88,0.0
2021-03-31,74.4,$-7.77,0.0
2020-12-31,67.6,$-25.58,0.0
2020-09-30,44.8,$-39.93,0.0
2020-06-30,53.4,$-58.14,0.0
2020-03-31,55.2,$-92.48,0.0
2019-12-31,196.4,$-94.36,0.0
2019-09-30,140.02,$-115.45,0.0
2019-06-30,280.0,$-108.25,0.0
2019-03-31,336.0,$-109.08,0.0
2018-12-31,300.0,$-111.36,0.0
2018-09-30,230.0,$-103.44,0.0
2018-06-30,188.0,$-120.35,0.0
2018-03-31,288.0,$-123.46,0.0
2017-12-31,430.0,$-122.99,0.0
