Ambac Financial Price to Free Cash Flow Ratio Historical Data,Ambac Financial Price to Free Cash Flow Ratio Historical Data,Ambac Financial Price to Free Cash Flow Ratio Historical Data,Ambac Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.6,,530.86
2024-12-31,12.65,$0.02,780.86
2024-09-30,11.21,$-1.00,0.0
2024-06-30,12.82,$-0.71,0.0
2024-03-31,15.63,$-0.49,0.0
2023-12-31,16.48,$0.81,20.36
2023-09-30,12.06,$2.64,4.56
2023-06-30,14.24,$3.51,4.06
2023-03-31,15.48,$3.04,5.09
2022-12-31,17.44,$1.54,11.33
2022-09-30,12.75,$1.36,9.36
2022-06-30,11.35,$-0.79,0.0
2022-03-31,10.4,$-1.77,0.0
2021-12-31,16.05,$-2.82,0.0
2021-09-30,14.32,$-3.07,0.0
2021-06-30,15.66,$-3.15,0.0
2021-03-31,16.74,$-2.76,0.0
2020-12-31,15.38,$-3.79,0.0
2020-09-30,12.77,$-4.09,0.0
2020-06-30,14.32,$-3.43,0.0
2020-03-31,12.34,$-6.58,0.0
2019-12-31,21.57,$-6.77,0.0
2019-09-30,19.55,$-8.44,0.0
2019-06-30,16.85,$-10.68,0.0
2019-03-31,18.12,$-9.11,0.0
2018-12-31,17.24,$-33.14,0.0
2018-09-30,20.42,$-30.46,0.0
2018-06-30,19.85,$-29.48,0.0
2018-03-31,15.68,$-30.87,0.0
2017-12-31,15.98,$-4.87,0.0
2017-09-30,17.26,$-5.27,0.0
2017-06-30,17.35,$-4.72,0.0
2017-03-31,18.86,$-0.25,0.0
2016-12-31,22.5,$18.16,1.24
2016-09-30,18.39,$18.21,1.01
2016-06-30,16.46,$20.44,0.81
2016-03-31,15.8,$20.18,0.78
2015-12-31,14.09,$2.00,7.06
2015-09-30,14.47,$-24.35,0.0
2015-06-30,16.64,$-23.62,0.0
2015-03-31,24.2,$-21.32,0.0
2014-12-31,24.5,$-20.62,0.0
2014-09-30,22.1,$7.76,2.85
2014-06-30,27.31,$7.73,3.53
2014-03-31,31.03,$4.84,6.41
