Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.55,,0.0
2024-12-31,59.14,$-4.21,0.0
2024-09-30,60.21,$-3.28,0.0
2024-06-30,50.06,$-3.43,0.0
2024-03-31,49.1,$-3.64,0.0
2023-12-31,49.49,$-3.90,0.0
2023-09-30,46.31,$-4.80,0.0
2023-06-30,49.74,$-4.83,0.0
2023-03-31,50.2,$-4.70,0.0
2022-12-31,51.47,$-3.97,0.0
2022-09-30,49.0,$-2.74,0.0
2022-06-30,53.81,$-2.51,0.0
2022-03-31,56.97,$-2.31,0.0
2021-12-31,55.65,$-2.34,0.0
2021-09-30,50.32,$-2.74,0.0
2021-06-30,49.78,$-3.32,0.0
2021-03-31,48.0,$-3.29,0.0
2020-12-31,45.3,$-3.48,0.0
2020-09-30,45.1,$-3.89,0.0
2020-06-30,41.48,$-3.45,0.0
2020-03-31,41.55,$-3.68,0.0
2019-12-31,46.78,$-4.10,0.0
2019-09-30,45.8,$-4.18,0.0
2019-06-30,41.38,$-4.56,0.0
2019-03-31,39.44,$-4.82,0.0
2018-12-31,35.07,$-4.73,0.0
2018-09-30,35.06,$-4.44,0.0
2018-06-30,34.58,$-4.00,0.0
2018-03-31,33.13,$-4.22,0.0
2017-12-31,34.26,$-4.12,0.0
2017-09-30,33.18,$-5.54,0.0
2017-06-30,31.82,$-5.72,0.0
2017-03-31,31.13,$-4.25,0.0
2016-12-31,29.52,$-3.54,0.0
2016-09-30,29.61,$-1.37,0.0
2016-06-30,30.46,$-0.38,0.0
2016-03-31,28.26,$-0.46,0.0
2015-12-31,23.54,$-0.10,0.0
2015-09-30,21.84,$0.12,176.7
2015-06-30,21.36,$0.22,97.75
2015-03-31,23.11,$0.00,0.0
2014-12-31,24.17,$0.24,101.68
2014-09-30,19.99,$0.26,77.44
2014-06-30,21.77,$0.01,0.0
2014-03-31,20.15,$0.40,50.33
2013-12-31,18.12,$-0.00,0.0
2013-09-30,17.24,$-1.14,0.0
2013-06-30,17.39,$-0.54,0.0
2013-03-31,17.15,$-1.11,0.0
2012-12-31,14.86,$-0.83,0.0
2012-09-30,14.53,$0.68,21.52
2012-06-30,15.12,$-0.08,0.0
2012-03-31,14.23,$0.70,20.26
2011-12-31,14.34,$0.43,33.56
2011-09-30,12.44,$0.80,15.64
2011-06-30,12.94,$0.84,15.41
2011-03-31,12.26,$0.98,12.49
2010-12-31,11.44,$0.69,16.69
2010-09-30,11.19,$-0.34,0.0
2010-06-30,9.66,$-1.09,0.0
2010-03-31,10.01,$-2.26,0.0
2009-12-31,8.99,$-2.23,0.0
