Concord Medical Services Holdings Price to Free Cash Flow Ratio Historical Data,Concord Medical Services Holdings Price to Free Cash Flow Ratio Historical Data,Concord Medical Services Holdings Price to Free Cash Flow Ratio Historical Data,Concord Medical Services Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.91,,0.0
2016-03-31,49.2,$-7.68,0.0
2015-12-31,48.4,$-7.68,0.0
2015-09-30,38.68,$16.69,2.32
2015-06-30,58.65,$16.69,3.51
2015-03-31,48.83,$16.69,2.93
2014-12-31,53.33,$16.69,3.2
2014-09-30,59.9,$4.29,13.95
2014-06-30,60.05,$4.29,13.98
2014-03-31,56.46,$4.29,13.15
2013-12-31,36.45,$4.29,8.49
2013-09-30,35.38,$1.61,21.99
2013-06-30,26.74,$1.61,16.61
2013-03-31,28.93,$1.61,17.98
2012-12-31,27.47,$1.61,17.07
2012-09-30,24.94,$3.99,6.25
2012-06-30,19.49,$3.99,4.89
2012-03-31,25.54,$3.99,6.4
2011-12-31,21.48,$3.99,5.39
2011-09-30,21.02,$2.59,8.1
2011-06-30,26.92,$2.59,10.38
2011-03-31,35.96,$2.59,13.87
2010-12-31,47.03,$2.59,18.14
2010-09-30,44.55,$0.49,90.32
