Aeva Technologies Price to Free Cash Flow Ratio Historical Data,Aeva Technologies Price to Free Cash Flow Ratio Historical Data,Aeva Technologies Price to Free Cash Flow Ratio Historical Data,Aeva Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.19,,0.0
2024-09-30,3.29,$-2.28,0.0
2024-06-30,2.52,$-2.44,0.0
2024-03-31,3.93,$-2.52,0.0
2023-12-31,3.79,$-2.75,0.0
2023-09-30,3.82,$-2.79,0.0
2023-06-30,6.25,$-2.77,0.0
2023-03-31,5.95,$-2.91,0.0
2022-12-31,6.8,$-2.70,0.0
2022-09-30,9.35,$-2.79,0.0
2022-06-30,15.65,$-2.73,0.0
2022-03-31,21.65,$-2.31,0.0
2021-12-31,37.8,$-2.14,0.0
2021-09-30,39.7,$-1.64,0.0
2021-06-30,52.85,$-1.24,0.0
2021-03-31,58.0,$-1.03,0.0
2020-12-31,72.7,$-0.78,0.0
