Immunome Price to Free Cash Flow Ratio Historical Data,Immunome Price to Free Cash Flow Ratio Historical Data,Immunome Price to Free Cash Flow Ratio Historical Data,Immunome Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.66,,0.0
2024-12-31,10.62,$-2.01,0.0
2024-09-30,14.62,$-2.44,0.0
2024-06-30,12.1,$-2.56,0.0
2024-03-31,24.68,$-2.66,0.0
2023-12-31,10.7,$-0.42,0.0
2023-09-30,8.35,$0.21,39.02
2023-06-30,7.91,$0.30,26.44
2023-03-31,4.99,$0.12,43.09
2022-12-31,2.21,$-2.39,0.0
2022-09-30,4.44,$-2.45,0.0
2022-06-30,3.21,$-2.15,0.0
2022-03-31,5.68,$-1.78,0.0
2021-12-31,12.96,$-1.59,0.0
2021-09-30,24.35,$-4.71,0.0
