Oil States Price to Free Cash Flow Ratio Historical Data,Oil States Price to Free Cash Flow Ratio Historical Data,Oil States Price to Free Cash Flow Ratio Historical Data,Oil States Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.42,,24.04
2024-12-31,5.06,$0.23,22.44
2024-09-30,4.6,$0.28,16.25
2024-06-30,4.44,$0.08,58.19
2024-03-31,6.16,$0.38,16.14
2023-12-31,6.79,$0.49,13.75
2023-09-30,8.37,$0.70,11.92
2023-06-30,7.47,$0.89,8.36
2023-03-31,8.33,$0.32,26.39
2022-12-31,7.46,$0.30,24.89
2022-09-30,3.89,$-0.11,0.0
2022-06-30,5.42,$-0.39,0.0
2022-03-31,6.95,$-0.01,0.0
2021-12-31,4.97,$0.02,248.5
2021-09-30,6.39,$0.28,23.18
2021-06-30,7.85,$1.65,4.75
2021-03-31,6.03,$1.93,3.13
2020-12-31,5.02,$2.17,2.32
2020-09-30,2.73,$2.38,1.15
2020-06-30,4.75,$1.53,3.1
2020-03-31,2.03,$1.25,1.62
2019-12-31,16.31,$1.47,11.09
2019-09-30,13.3,$1.38,9.64
2019-06-30,18.3,$0.77,23.81
2019-03-31,16.96,$1.05,16.12
2018-12-31,14.28,$0.32,44.58
2018-09-30,33.2,$0.28,118.28
2018-06-30,32.1,$0.77,41.9
2018-03-31,26.2,$0.28,93.84
2017-12-31,28.3,$1.24,22.76
2017-09-30,25.35,$1.87,13.59
2017-06-30,27.15,$1.78,15.27
2017-03-31,33.15,$2.00,16.61
2016-12-31,39.0,$2.41,16.16
2016-09-30,31.57,$1.31,24.15
2016-06-30,32.88,$1.09,30.15
2016-03-31,31.52,$2.29,13.78
2015-12-31,27.25,$2.86,9.52
2015-09-30,26.13,$4.75,5.51
2015-06-30,37.23,$5.20,7.16
2015-03-31,39.77,$4.81,8.27
2014-12-31,48.9,$4.56,10.73
2014-09-30,61.9,$8.31,7.45
2014-06-30,64.09,$9.72,6.59
2014-03-31,56.39,$8.70,6.48
2013-12-31,58.17,$9.49,6.13
2013-09-30,59.16,$10.56,5.6
2013-06-30,52.98,$9.72,5.45
2013-03-31,46.65,$11.19,4.17
2012-12-31,40.91,$8.56,4.78
2012-09-30,45.44,$0.04,1265.73
2012-06-30,37.86,$-1.43,0.0
2012-03-31,44.64,$-4.41,0.0
2011-12-31,43.67,$-4.84,0.0
2011-09-30,29.12,$-2.29,0.0
2011-06-30,45.7,$-1.60,0.0
2011-03-31,43.54,$0.42,103.74
2010-12-31,36.65,$0.98,37.54
2010-09-30,26.62,$1.76,15.15
2010-06-30,22.63,$2.39,9.48
2010-03-31,25.93,$4.83,5.36
2009-12-31,22.47,$6.61,3.4
