BTCS Price to Free Cash Flow Ratio Historical Data,BTCS Price to Free Cash Flow Ratio Historical Data,BTCS Price to Free Cash Flow Ratio Historical Data,BTCS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.8,,0.0
2024-12-31,2.47,$-0.22,0.0
2024-09-30,1.16,$-0.16,0.0
2024-06-30,1.38,$-0.16,0.0
2024-03-31,1.76,$-0.18,0.0
2023-12-31,1.63,$-0.20,0.0
2023-09-30,0.94,$-0.24,0.0
2023-06-30,1.19,$-0.26,0.0
2023-03-31,1.36,$-0.04,0.0
2022-12-31,0.63,$-0.06,0.0
2022-09-30,1.5,$-0.12,0.0
2022-06-30,1.49,$-0.66,0.0
