Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data,Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data,Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data,Intercontinental Exchange Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,175.59,,26.22
2024-12-31,149.01,$6.70,22.25
2024-09-30,160.17,$5.98,26.79
2024-06-30,136.11,$5.84,23.29
2024-03-31,136.2,$5.89,23.11
2023-12-31,126.86,$5.40,23.48
2023-09-30,108.3,$5.64,19.21
2023-06-30,110.91,$5.62,19.75
2023-03-31,101.9,$5.33,19.12
2022-12-31,99.82,$5.48,18.23
2022-09-30,87.59,$5.36,16.34
2022-06-30,90.82,$5.02,18.08
2022-03-31,127.08,$4.79,26.52
2021-12-31,131.17,$4.73,27.75
2021-09-30,109.85,$4.83,22.75
2021-06-30,113.25,$4.62,24.49
2021-03-31,106.25,$4.72,22.53
2020-12-31,109.37,$4.45,24.56
2020-09-30,94.65,$3.99,23.71
2020-06-30,86.4,$4.21,20.53
2020-03-31,75.92,$3.96,19.15
2019-12-31,86.67,$4.17,20.8
2019-09-30,86.15,$4.14,20.8
2019-06-30,80.0,$4.15,19.25
2019-03-31,70.64,$4.03,17.51
2018-12-31,69.63,$3.89,17.9
2018-09-30,69.01,$3.67,18.83
2018-06-30,67.57,$3.26,20.75
2018-03-31,66.41,$2.89,22.98
2017-12-31,64.4,$2.91,22.14
2017-09-30,62.53,$2.86,21.83
2017-06-30,59.82,$2.99,19.98
2017-03-31,54.16,$2.98,18.15
2016-12-31,50.87,$2.98,17.08
2016-09-30,48.43,$2.68,18.06
2016-06-30,45.89,$2.30,19.98
2016-03-31,42.01,$2.03,20.68
2015-12-31,45.62,$1.85,24.67
2015-09-30,41.71,$2.04,20.45
2015-06-30,39.56,$1.98,20.02
2015-03-31,41.14,$1.99,20.66
2014-12-31,38.57,$2.12,18.22
2014-09-30,34.2,$1.45,23.56
2014-06-30,33.01,$1.72,19.23
2014-03-31,34.46,$1.86,18.55
2013-12-31,39.05,$1.35,28.83
2013-09-30,31.41,$1.64,19.2
2013-06-30,30.77,$1.82,16.86
2013-03-31,28.23,$1.70,16.59
2012-12-31,21.43,$1.82,11.76
2012-09-30,23.1,$1.77,13.07
2012-06-30,23.54,$1.81,12.98
2012-03-31,23.79,$1.77,13.42
2011-12-31,20.87,$1.69,12.33
2011-09-30,20.47,$1.74,11.79
2011-06-30,21.59,$1.46,14.77
2011-03-31,21.39,$1.45,14.78
2010-12-31,20.63,$1.31,15.8
2010-09-30,18.13,$1.37,13.23
2010-06-30,19.57,$1.38,14.21
2010-03-31,19.42,$1.27,15.24
2009-12-31,19.44,$1.19,16.3
