Camden National Price to Free Cash Flow Ratio Historical Data,Camden National Price to Free Cash Flow Ratio Historical Data,Camden National Price to Free Cash Flow Ratio Historical Data,Camden National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.44,,10.95
2024-12-31,42.74,$3.78,11.3
2024-09-30,40.91,$0.13,312.07
2024-06-30,32.3,$4.42,7.31
2024-03-31,32.35,$4.66,6.94
2023-12-31,35.9,$4.44,8.08
2023-09-30,26.52,$6.61,4.01
2023-06-30,28.7,$4.47,6.42
2023-03-31,33.14,$5.14,6.45
2022-12-31,37.8,$7.04,5.37
2022-09-30,38.27,$7.78,4.92
2022-06-30,39.2,$8.43,4.65
2022-03-31,41.51,$8.15,5.09
2021-12-31,42.17,$9.41,4.48
2021-09-30,41.63,$8.93,4.66
2021-06-30,41.18,$8.11,5.08
2021-03-31,40.96,$7.40,5.54
2020-12-31,30.36,$1.02,29.81
2020-09-30,25.38,$1.25,20.27
2020-06-30,28.72,$0.93,30.94
2020-03-31,25.86,$-0.01,0.0
2019-12-31,37.61,$1.85,20.32
2019-09-30,35.12,$0.59,59.87
2019-06-30,36.94,$1.38,26.72
2019-03-31,33.37,$2.39,13.96
2018-12-31,28.54,$3.84,7.43
2018-09-30,34.22,$4.28,7.99
2018-06-30,35.77,$3.41,10.48
2018-03-31,34.63,$3.02,11.47
2017-12-31,32.6,$3.57,9.14
2017-09-30,33.59,$4.14,8.11
2017-06-30,32.85,$4.64,7.08
2017-03-31,33.54,$4.94,6.79
2016-12-31,33.67,$3.60,9.35
2016-09-30,23.95,$1.31,18.25
2016-06-30,20.93,$0.90,23.36
2016-03-31,20.78,$0.65,32.2
2015-12-31,21.65,$1.05,20.54
2015-09-30,19.69,$2.42,8.13
2015-06-30,18.72,$2.50,7.49
2015-03-31,19.13,$2.68,7.13
2014-12-31,18.98,$2.55,7.44
2014-09-30,16.55,$2.64,6.26
2014-06-30,18.2,$2.60,7.01
2014-03-31,19.22,$2.42,7.93
2013-12-31,19.38,$2.46,7.88
2013-09-30,18.76,$2.67,7.02
2013-06-30,16.21,$2.57,6.3
2013-03-31,14.99,$3.57,4.2
2012-12-31,15.28,$3.58,4.27
2012-09-30,16.55,$2.75,6.01
2012-06-30,16.26,$3.22,5.05
2012-03-31,15.48,$2.21,7.0
2011-12-31,14.25,$2.77,5.15
2011-09-30,11.61,$3.89,2.99
2011-06-30,13.89,$3.41,4.08
2011-03-31,14.39,$3.35,4.29
2010-12-31,15.11,$2.90,5.21
2010-09-30,14.35,$1.54,9.34
2010-06-30,11.28,$3.12,3.61
2010-03-31,13.09,$2.30,5.69
2009-12-31,13.23,$1.74,7.62
