Boqii Holding Price to Free Cash Flow Ratio Historical Data,Boqii Holding Price to Free Cash Flow Ratio Historical Data,Boqii Holding Price to Free Cash Flow Ratio Historical Data,Boqii Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.5,,0.0
2022-06-30,1.93,$-52.36,0.0
2022-03-31,2.65,$-52.36,0.0
2021-12-31,5.29,$-86.83,0.0
2021-09-30,13.86,$-86.83,0.0
2021-06-30,26.94,$-86.83,0.0
