Ginkgo Bioworks Holdings Price to Free Cash Flow Ratio Historical Data,Ginkgo Bioworks Holdings Price to Free Cash Flow Ratio Historical Data,Ginkgo Bioworks Holdings Price to Free Cash Flow Ratio Historical Data,Ginkgo Bioworks Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.17,,0.0
2024-12-31,9.82,$-7.35,0.0
2024-09-30,8.15,$-7.48,0.0
2024-06-30,0.33,$-6.84,0.0
2024-03-31,1.16,$-6.45,0.0
2023-12-31,1.69,$-6.83,0.0
2023-09-30,1.81,$-8.56,0.0
2023-06-30,1.86,$-8.00,0.0
2023-03-31,1.33,$-8.96,0.0
2022-12-31,1.69,$-7.25,0.0
2022-09-30,3.12,$-9.18,0.0
2022-06-30,2.38,$-8.40,0.0
2022-03-31,4.03,$-9.71,0.0
