NewJersey Resources Price to Free Cash Flow Ratio Historical Data,NewJersey Resources Price to Free Cash Flow Ratio Historical Data,NewJersey Resources Price to Free Cash Flow Ratio Historical Data,NewJersey Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.18,,0.0
2024-12-31,46.65,$-1.04,0.0
2024-09-30,46.76,$-1.45,0.0
2024-06-30,41.94,$-1.05,0.0
2024-03-31,41.7,$-0.43,0.0
2023-12-31,42.9,$1.09,39.25
2023-09-30,38.73,$-0.63,0.0
2023-06-30,44.55,$-0.65,0.0
2023-03-31,49.81,$-2.33,0.0
2022-12-31,46.11,$-3.18,0.0
2022-09-30,35.68,$-2.85,0.0
2022-06-30,40.69,$-3.63,0.0
2022-03-31,41.55,$-3.26,0.0
2021-12-31,36.89,$-3.70,0.0
2021-09-30,30.99,$-2.42,0.0
2021-06-30,34.87,$-1.73,0.0
2021-03-31,34.86,$-1.10,0.0
2020-12-31,30.84,$-3.19,0.0
2020-09-30,23.22,$-8.21,0.0
2020-06-30,27.72,$-8.72,0.0
2020-03-31,28.56,$-9.00,0.0
2019-12-31,37.04,$-6.90,0.0
2019-09-30,37.32,$-3.32,0.0
2019-06-30,40.79,$-3.38,0.0
2019-03-31,40.57,$-1.92,0.0
2018-12-31,36.99,$-1.16,0.0
2018-09-30,37.13,$0.04,886.09
2018-06-30,35.81,$0.05,661.98
2018-03-31,31.88,$0.03,1059.2
2017-12-31,31.74,$-0.97,0.0
2017-09-30,33.06,$-1.45,0.0
2017-06-30,30.94,$-0.74,0.0
2017-03-31,30.68,$-1.68,0.0
2016-12-31,27.32,$-2.47,0.0
2016-09-30,25.11,$-2.45,0.0
2016-06-30,29.24,$-2.78,0.0
2016-03-31,27.45,$-1.70,0.0
2015-12-31,24.67,$-0.08,0.0
2015-09-30,22.29,$0.82,27.13
2015-06-30,20.27,$0.55,36.98
2015-03-31,22.67,$-0.38,0.0
2014-12-31,22.16,$1.74,12.72
2014-09-30,18.15,$0.88,20.59
2014-06-30,20.36,$1.28,15.97
2014-03-31,17.6,$2.01,8.77
2013-12-31,16.2,$-1.32,0.0
2013-09-30,15.29,$-1.00,0.0
2013-06-30,14.14,$-0.81,0.0
2013-03-31,15.14,$-1.59,0.0
2012-12-31,13.25,$-1.25,0.0
2012-09-30,15.14,$-1.88,0.0
2012-06-30,14.2,$-1.84,0.0
2012-03-31,14.39,$-0.65,0.0
2011-12-31,15.75,$1.08,14.58
2011-09-30,13.52,$0.90,14.99
2011-06-30,14.05,$0.86,16.32
2011-03-31,13.42,$-0.57,0.0
2010-12-31,13.35,$-0.67,0.0
2010-09-30,12.05,$0.51,23.46
2010-06-30,10.72,$-0.12,0.0
2010-03-31,11.32,$1.17,9.67
2009-12-31,11.17,$1.43,7.83
