Cato Price to Free Cash Flow Ratio Historical Data,Cato Price to Free Cash Flow Ratio Historical Data,Cato Price to Free Cash Flow Ratio Historical Data,Cato Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.26,,0.0
2024-10-31,6.53,$-1.72,0.0
2024-07-31,4.93,$-1.09,0.0
2024-04-30,4.51,$-0.69,0.0
2024-01-31,6.13,$-0.62,0.0
2023-10-31,6.31,$-0.48,0.0
2023-07-31,7.35,$0.04,174.26
2023-04-30,6.99,$0.15,47.52
2023-01-31,8.26,$-0.30,0.0
2022-10-31,9.71,$-0.81,0.0
2022-07-31,9.9,$-0.82,0.0
2022-04-30,10.7,$0.33,32.04
2022-01-31,12.9,$2.64,4.89
2021-10-31,13.63,$3.35,4.06
2021-07-31,12.62,$4.33,2.91
2021-04-30,10.18,$3.40,2.99
2021-01-31,8.64,$-1.98,0.0
2020-10-31,4.65,$-1.61,0.0
2020-07-31,5.46,$-2.44,0.0
2020-04-30,8.55,$-2.01,0.0
2020-01-31,11.9,$1.90,6.27
2019-10-31,12.74,$2.06,6.2
2019-07-31,10.27,$1.87,5.48
2019-04-30,10.56,$1.63,6.5
2019-01-31,10.1,$2.33,4.33
2018-10-31,12.81,$1.94,6.62
2018-07-31,16.29,$1.79,9.09
2018-04-30,10.46,$1.81,5.79
2018-01-31,7.46,$1.00,7.47
2017-10-31,7.91,$2.04,3.87
2017-07-31,10.21,$1.48,6.88
2017-04-30,13.32,$1.03,12.88
2017-01-31,14.79,$1.67,8.85
2016-10-31,17.1,$2.00,8.55
2016-07-31,20.41,$2.50,8.16
2016-04-30,20.7,$2.65,7.82
2016-01-31,22.62,$2.46,9.2
2015-10-31,21.02,$1.95,10.77
2015-07-31,21.19,$2.24,9.46
2015-04-30,21.53,$2.45,8.79
2015-01-31,23.04,$3.21,7.18
2014-10-31,19.24,$2.88,6.69
2014-07-31,16.51,$2.50,6.6
2014-04-30,15.09,$2.35,6.41
2014-01-31,14.66,$2.13,6.87
2013-10-31,15.68,$1.73,9.09
2013-07-31,14.7,$1.65,8.94
2013-04-30,12.52,$0.95,13.15
2013-01-31,14.34,$1.19,12.1
2012-10-31,13.59,$1.40,9.69
2012-07-31,13.31,$1.55,8.6
2012-04-30,13.11,$1.93,6.79
2012-01-31,12.53,$1.57,7.97
2011-10-31,11.86,$1.91,6.22
2011-07-31,12.75,$2.09,6.11
2011-04-30,11.6,$2.39,4.86
2011-01-31,11.03,$2.07,5.33
2010-10-31,11.85,$2.39,4.97
2010-07-31,10.35,$2.69,3.85
2010-04-30,10.48,$2.67,3.92
2010-01-31,8.96,$2.57,3.48
2009-10-31,8.56,$3.57,2.4
