IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,243.32,,17.6
2024-12-31,219.83,$13.82,15.9
2024-09-30,219.34,$14.37,15.26
2024-06-30,170.11,$14.07,12.09
2024-03-31,185.95,$14.53,12.8
2023-12-31,157.84,$14.11,11.19
2023-09-30,133.89,$13.23,10.12
2023-06-30,126.22,$11.93,10.58
2023-03-31,121.99,$10.54,11.57
2022-12-31,129.51,$10.08,12.84
2022-09-30,107.92,$8.54,12.63
2022-06-30,126.63,$9.32,13.59
2022-03-31,115.2,$10.58,10.89
2021-12-31,116.99,$12.29,9.52
2021-09-30,114.57,$15.81,7.24
2021-06-30,119.5,$17.26,6.92
2021-03-31,107.42,$18.29,5.87
2020-12-31,100.13,$17.59,5.69
2020-09-30,95.44,$15.07,6.33
2020-06-30,93.51,$14.50,6.45
2020-03-31,84.75,$14.12,6.0
2019-12-31,101.34,$14.58,6.95
2019-09-30,108.66,$14.96,7.26
2019-06-30,101.87,$15.28,6.67
2019-03-31,103.0,$13.87,7.42
2018-12-31,82.01,$13.21,6.21
2018-09-30,107.72,$14.70,7.33
2018-06-30,98.45,$14.10,6.98
2018-03-31,106.95,$15.58,6.87
2017-12-31,105.87,$14.89,7.11
2017-09-30,99.13,$13.02,7.61
2017-06-30,104.01,$13.43,7.74
2017-03-31,116.6,$13.12,8.89
2016-12-31,110.26,$14.54,7.58
2016-09-30,104.58,$15.94,6.56
2016-06-30,99.07,$15.89,6.23
2016-03-31,97.92,$16.35,5.99
2015-12-31,88.08,$14.29,6.16
2015-09-30,91.92,$14.61,6.29
2015-06-30,102.28,$14.13,7.24
2015-03-31,100.16,$13.77,7.27
2014-12-31,99.42,$13.40,7.42
2014-09-30,116.84,$13.39,8.73
2014-06-30,110.91,$12.98,8.55
2014-03-31,117.1,$12.30,9.52
2013-12-31,113.49,$12.90,8.79
2013-09-30,111.45,$12.61,8.84
2013-06-30,114.44,$13.18,8.68
2013-03-31,127.14,$13.89,9.15
2012-12-31,113.7,$13.77,8.26
2012-09-30,122.59,$14.07,8.71
2012-06-30,115.08,$14.09,8.17
2012-03-31,122.26,$14.08,8.68
2011-12-31,107.33,$13.47,7.97
2011-09-30,101.66,$12.88,7.9
2011-06-30,99.28,$12.63,7.86
2011-03-31,93.96,$12.07,7.78
2010-12-31,84.23,$12.53,6.72
2010-09-30,76.65,$12.14,6.31
2010-06-30,70.21,$12.41,5.66
2010-03-31,72.54,$13.14,5.52
2009-12-31,73.7,$13.16,5.6
