Vodafone Group Price to Free Cash Flow Ratio Historical Data,Vodafone Group Price to Free Cash Flow Ratio Historical Data,Vodafone Group Price to Free Cash Flow Ratio Historical Data,Vodafone Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.7,,inf
2024-03-31,8.21,0.0,0.0
2023-09-30,8.29,0.0,0.0
2023-03-31,9.17,0.0,0.0
2022-09-30,9.01,0.0,0.0
2022-03-31,12.84,0.0,0.0
2021-09-30,11.56,0.0,0.0
2021-03-31,13.38,0.0,0.0
2020-09-30,9.45,0.0,0.0
2020-03-31,9.37,0.0,0.0
2019-09-30,13.23,0.0,0.0
2019-03-31,11.74,0.0,0.0
2018-09-30,13.63,0.0,0.0
2018-03-31,16.68,0.0,0.0
2017-09-30,16.74,0.0,0.0
2017-03-31,14.94,0.0,0.0
2016-09-30,16.15,0.0,0.0
2016-03-31,17.22,0.0,0.0
2015-09-30,16.79,0.0,0.0
2015-03-31,16.75,0.0,0.0
2014-09-30,16.6,0.0,0.0
2014-03-31,17.89,0.0,0.0
2013-09-30,30.85,0.0,0.0
2013-03-31,24.0,0.0,0.0
2012-09-30,23.6,0.0,0.0
2012-03-31,22.06,0.0,0.0
2011-09-30,19.67,0.0,0.0
2011-03-31,21.25,0.0,0.0
2010-09-30,18.03,0.0,0.0
