Great Lakes Dredge & Dock Price to Free Cash Flow Ratio Historical Data,Great Lakes Dredge & Dock Price to Free Cash Flow Ratio Historical Data,Great Lakes Dredge & Dock Price to Free Cash Flow Ratio Historical Data,Great Lakes Dredge & Dock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.33,,0.0
2024-12-31,11.29,$-0.67,0.0
2024-09-30,10.53,$-0.52,0.0
2024-06-30,8.78,$-0.77,0.0
2024-03-31,8.75,$-0.27,0.0
2023-12-31,7.68,$-1.09,0.0
2023-09-30,7.97,$-1.20,0.0
2023-06-30,8.16,$-1.36,0.0
2023-03-31,5.43,$-2.45,0.0
2022-12-31,5.95,$-2.11,0.0
2022-09-30,7.58,$-2.05,0.0
2022-06-30,13.11,$-1.56,0.0
2022-03-31,14.03,$-0.43,0.0
2021-12-31,15.72,$-0.95,0.0
2021-09-30,15.09,$-0.69,0.0
2021-06-30,14.61,$-0.62,0.0
2021-03-31,14.58,$-0.34,0.0
2020-12-31,13.17,$0.54,24.25
2020-09-30,9.51,$0.83,11.5
2020-06-30,9.26,$1.67,5.56
2020-03-31,8.3,$1.06,7.86
2019-12-31,11.33,$2.29,4.95
2019-09-30,10.45,$2.65,3.95
2019-06-30,11.04,$2.57,4.3
2019-03-31,8.91,$3.13,2.84
2018-12-31,6.62,$1.61,4.12
2018-09-30,6.2,$1.15,5.37
2018-06-30,5.25,$0.29,18.34
2018-03-31,4.6,$-0.19,0.0
2017-12-31,5.4,$-0.58,0.0
2017-09-30,4.85,$-0.59,0.0
2017-06-30,4.3,$-0.81,0.0
2017-03-31,4.0,$-0.72,0.0
2016-12-31,4.2,$-0.56,0.0
2016-09-30,3.5,$-0.38,0.0
2016-06-30,4.36,$-0.25,0.0
2016-03-31,4.46,$-0.41,0.0
2015-12-31,3.96,$-0.73,0.0
2015-09-30,5.04,$-0.73,0.0
2015-06-30,5.96,$-0.81,0.0
2015-03-31,6.01,$-0.97,0.0
2014-12-31,8.56,$-0.71,0.0
2014-09-30,6.18,$-0.14,0.0
2014-06-30,7.99,$0.41,19.43
2014-03-31,9.13,$0.47,19.57
2013-12-31,9.2,$0.25,36.57
2013-09-30,7.43,$-0.39,0.0
2013-06-30,7.82,$-1.18,0.0
2013-03-31,6.73,$-1.07,0.0
2012-12-31,8.93,$-1.04,0.0
2012-09-30,7.49,$-0.88,0.0
2012-06-30,6.9,$-0.13,0.0
2012-03-31,6.98,$-0.07,0.0
2011-12-31,5.36,$0.21,25.32
2011-09-30,3.91,$0.08,50.5
2011-06-30,5.34,$0.32,16.48
2011-03-31,7.27,$1.00,7.27
2010-12-31,7.01,$1.68,4.18
2010-09-30,5.51,$1.74,3.17
2010-06-30,5.67,$1.53,3.7
2010-03-31,4.95,$1.38,3.57
2009-12-31,6.08,$0.52,11.74
