Saratoga Investment Corp Price to Free Cash Flow Ratio Historical Data,Saratoga Investment Corp Price to Free Cash Flow Ratio Historical Data,Saratoga Investment Corp Price to Free Cash Flow Ratio Historical Data,Saratoga Investment Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.44,,1.77
2024-11-30,24.58,$13.82,1.78
2024-08-31,21.85,$6.28,3.48
2024-05-31,21.33,$0.75,28.28
2024-02-29,20.57,$-12.41,0.0
2023-11-30,22.23,$-7.66,0.0
2023-08-31,21.34,$-8.86,0.0
2023-05-31,22.61,$-13.63,0.0
2023-02-28,21.56,$-10.90,0.0
2022-11-30,20.1,$-26.46,0.0
2022-08-31,18.12,$-23.01,0.0
2022-05-31,19.41,$-15.24,0.0
2022-02-28,19.69,$-17.73,0.0
2021-11-30,20.34,$-4.55,0.0
2021-08-31,19.83,$-8.95,0.0
2021-05-31,17.36,$-11.73,0.0
2021-02-28,15.42,$-5.57,0.0
2020-11-30,14.52,$-2.49,0.0
2020-08-31,11.01,$3.23,3.41
2020-05-31,9.53,$-4.67,0.0
2020-02-29,14.38,$-1.63,0.0
2019-11-30,15.43,$1.33,11.58
2019-08-31,15.13,$-7.35,0.0
2019-05-31,14.5,$-6.00,0.0
2019-02-28,13.24,$-5.67,0.0
2018-11-30,12.37,$-11.52,0.0
2018-08-31,13.64,$-5.87,0.0
2018-05-31,12.25,$1.96,6.26
2018-02-28,11.48,$-5.11,0.0
2017-11-30,11.46,$-7.41,0.0
2017-08-31,11.03,$-7.99,0.0
2017-05-31,10.88,$-9.48,0.0
2017-02-28,10.97,$1.17,9.34
2016-11-30,9.53,$-4.80,0.0
2016-08-31,8.27,$-2.65,0.0
2016-05-31,7.29,$-1.34,0.0
2016-02-29,6.17,$-5.77,0.0
2015-11-30,6.59,$4.19,1.57
2015-08-31,6.73,$1.26,5.36
2015-05-31,7.05,$-1.00,0.0
2015-02-28,5.93,$-4.03,0.0
2014-11-30,5.63,$-6.93,0.0
2014-08-31,5.89,$-7.79,0.0
2014-05-31,5.55,$-10.73,0.0
2014-02-28,5.81,$-6.00,0.0
2013-11-30,5.73,$-15.09,0.0
2013-08-31,5.83,$-13.21,0.0
2013-05-31,5.73,$-7.96,0.0
2013-02-28,5.41,$-8.96,0.0
2012-11-30,4.99,$-6.39,0.0
2012-08-31,4.12,$-3.58,0.0
2012-05-31,4.33,$-7.51,0.0
2012-02-29,3.97,$-6.61,0.0
2011-11-30,3.09,$8.60,0.36
2011-08-31,3.39,$8.52,0.4
2011-05-31,4.21,$11.14,0.38
2011-02-28,4.31,$11.60,0.37
2010-11-30,3.57,$7.61,0.47
2010-08-31,3.64,$9.46,0.38
2010-05-31,3.32,$17.42,0.19
2010-02-28,3.73,$19.96,0.19
2009-11-30,4.19,$59.91,0.07
