TeleTech Holdings Price to Free Cash Flow Ratio Historical Data,TeleTech Holdings Price to Free Cash Flow Ratio Historical Data,TeleTech Holdings Price to Free Cash Flow Ratio Historical Data,TeleTech Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.48,,0.0
2024-12-31,4.99,$-1.23,0.0
2024-09-30,5.87,$-1.57,0.0
2024-06-30,5.88,$-0.61,0.0
2024-03-31,10.31,$0.27,38.21
2023-12-31,21.54,$1.63,13.23
2023-09-30,25.47,$1.21,21.01
2023-06-30,32.87,$2.31,14.21
2023-03-31,36.16,$1.94,18.68
2022-12-31,42.26,$1.13,37.56
2022-09-30,41.96,$2.35,17.89
2022-06-30,64.29,$2.90,22.17
2022-03-31,78.14,$2.74,28.54
2021-12-31,85.24,$4.03,21.14
2021-09-30,87.6,$4.40,19.92
2021-06-30,96.56,$5.25,18.38
2021-03-31,93.68,$4.78,19.62
2020-12-31,68.01,$4.51,15.06
2020-09-30,49.18,$3.75,13.1
2020-06-30,41.98,$3.37,12.46
2020-03-31,33.1,$3.33,9.93
2019-12-31,35.39,$3.80,9.32
2019-09-30,42.77,$2.79,15.31
2019-06-30,41.34,$2.80,14.79
2019-03-31,32.15,$2.84,11.33
2018-12-31,25.14,$2.69,9.33
2018-09-30,22.54,$1.94,11.63
2018-06-30,30.07,$1.14,26.49
2018-03-31,26.72,$1.25,21.36
2017-12-31,34.73,$1.32,26.3
2017-09-30,35.81,$2.04,17.58
2017-06-30,35.0,$2.79,12.54
2017-03-31,25.39,$2.68,9.46
2016-12-31,25.97,$1.28,20.28
2016-09-30,24.68,$1.61,15.3
2016-06-30,22.94,$0.88,25.93
2016-03-31,23.47,$1.60,14.63
2015-12-31,23.44,$1.46,16.04
2015-09-30,22.5,$1.71,13.19
2015-06-30,22.59,$1.73,13.07
2015-03-31,21.23,$0.37,57.23
2014-12-31,19.61,$0.53,36.96
2014-09-30,20.35,$1.01,20.21
2014-06-30,24.01,$1.12,21.47
2014-03-31,20.3,$1.60,12.65
2013-12-31,19.82,$1.68,11.82
2013-09-30,20.78,$1.51,13.76
2013-06-30,19.4,$1.14,16.99
2013-03-31,17.56,$1.10,15.91
2012-12-31,14.74,$1.20,12.25
2012-09-30,14.12,$1.54,9.16
2012-06-30,13.25,$1.25,10.61
2012-03-31,13.33,$1.13,11.81
2011-12-31,13.41,$1.34,10.03
2011-09-30,12.62,$0.42,30.25
2011-06-30,17.46,$1.40,12.5
2011-03-31,16.05,$1.39,11.56
2010-12-31,17.05,$1.74,9.79
2010-09-30,12.29,$1.70,7.23
2010-06-30,10.67,$1.87,5.7
2010-03-31,14.14,$2.11,6.7
2009-12-31,16.59,$2.11,7.85
