Venus Concept Price to Free Cash Flow Ratio Historical Data,Venus Concept Price to Free Cash Flow Ratio Historical Data,Venus Concept Price to Free Cash Flow Ratio Historical Data,Venus Concept Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.68,,0.0
2024-09-30,0.61,$-13.07,0.0
2024-06-30,0.78,$-17.09,0.0
2024-03-31,0.69,$-19.19,0.0
2023-12-31,1.18,$-26.23,0.0
2023-09-30,1.96,$-32.21,0.0
2023-06-30,2.1,$-33.26,0.0
2023-03-31,3.29,$-48.39,0.0
2022-12-31,4.8,$-68.33,0.0
2022-09-30,6.6,$-62.18,0.0
2022-06-30,6.96,$-75.37,0.0
2022-03-31,21.45,$-68.48,0.0
2021-12-31,25.5,$-61.42,0.0
2021-09-30,37.65,$-71.77,0.0
2021-06-30,46.65,$-44.87,0.0
2021-03-31,35.25,$-70.15,0.0
2020-12-31,25.95,$-130.33,0.0
2020-09-30,34.8,$-10.40,0.0
2020-06-30,52.35,$-502.41,0.0
2020-03-31,53.25,$-568.97,0.0
2019-12-31,70.5,$-786.62,0.0
2019-09-30,146.23,$-532.99,0.0
2019-06-30,137.25,$-480.82,0.0
2019-03-31,132.75,"$-1,070.79",0.0
2018-12-31,98.01,"$-1,212.84",0.0
2018-09-30,652.5,"$-8,100.30",0.0
