BranchOut Food Price to Free Cash Flow Ratio Historical Data,BranchOut Food Price to Free Cash Flow Ratio Historical Data,BranchOut Food Price to Free Cash Flow Ratio Historical Data,BranchOut Food Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.95,,0.0
2024-09-30,1.6,$-1.31,0.0
2024-06-30,0.7,$-0.08,0.0
2024-03-31,1.88,$-1.47,0.0
