Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.43,,10.84
2024-12-31,42.28,$3.64,11.63
2024-09-30,42.84,$6.78,6.31
2024-06-30,36.18,$5.01,7.23
2024-03-31,36.54,$4.66,7.84
2023-12-31,33.55,$5.94,5.64
2023-09-30,24.39,$5.88,4.15
2023-06-30,24.89,$7.34,3.39
2023-03-31,24.99,$8.07,3.1
2022-12-31,30.39,$8.57,3.55
2022-09-30,29.31,$7.58,3.87
2022-06-30,30.5,$6.99,4.36
2022-03-31,38.73,$6.29,6.16
2021-12-31,38.93,$3.43,11.34
2021-09-30,37.68,$-0.68,0.0
2021-06-30,33.71,$-2.47,0.0
2021-03-31,32.79,$-1.02,0.0
2020-12-31,23.97,$0.06,375.06
2020-09-30,18.12,$4.28,4.24
2020-06-30,16.39,$3.84,4.27
2020-03-31,12.44,$2.04,6.1
2019-12-31,25.32,$2.24,11.33
2019-09-30,22.38,$1.69,13.27
2019-06-30,22.61,$3.22,7.01
2019-03-31,20.26,$4.43,4.57
2018-12-31,18.74,$4.05,4.62
2018-09-30,22.03,$2.99,7.36
2018-06-30,22.5,$2.82,7.98
2018-03-31,24.73,$1.44,17.12
2017-12-31,23.51,$1.74,13.51
2017-09-30,21.57,$2.62,8.23
2017-06-30,19.9,$2.39,8.32
2017-03-31,19.36,$2.65,7.3
2016-12-31,20.45,$2.43,8.4
2016-09-30,15.43,$2.32,6.66
2016-06-30,13.18,$2.37,5.57
2016-03-31,12.41,$2.59,4.8
2015-12-31,14.83,$2.73,5.43
2015-09-30,13.87,$2.25,6.16
2015-06-30,15.16,$2.19,6.94
2015-03-31,13.64,$2.38,5.72
2014-12-31,14.65,$2.16,6.79
2014-09-30,14.3,$2.33,6.14
2014-06-30,15.15,$3.04,4.98
2014-03-31,16.19,$3.72,4.36
2013-12-31,14.76,$4.64,3.18
2013-09-30,12.59,$3.60,3.5
2013-06-30,12.51,$2.91,4.3
2013-03-31,11.23,$1.58,7.13
2012-12-31,10.4,$2.20,4.72
2012-09-30,10.53,$2.09,5.04
2012-06-30,9.05,$1.20,7.56
2012-03-31,9.42,$2.01,4.69
2011-12-31,8.49,$2.13,3.98
2011-09-30,6.7,$3.72,1.8
2011-06-30,8.39,$5.28,1.59
2011-03-31,9.09,$4.74,1.92
2010-12-31,9.57,$3.84,2.49
2010-09-30,7.84,$4.71,1.66
2010-06-30,8.0,$5.63,1.42
2010-03-31,8.82,$6.25,1.41
2009-12-31,6.34,$4.91,1.29
