Freightcar America Price to Free Cash Flow Ratio Historical Data,Freightcar America Price to Free Cash Flow Ratio Historical Data,Freightcar America Price to Free Cash Flow Ratio Historical Data,Freightcar America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.43,,4.95
2024-12-31,8.96,$1.30,6.9
2024-09-30,10.79,$2.04,5.28
2024-06-30,3.49,$1.43,2.45
2024-03-31,3.85,$-0.81,0.0
2023-12-31,2.7,$-0.28,0.0
2023-09-30,2.67,$-0.39,0.0
2023-06-30,2.98,$-0.43,0.0
2023-03-31,3.12,$-0.50,0.0
2022-12-31,3.2,$0.15,21.56
2022-09-30,3.73,$-0.77,0.0
2022-06-30,3.64,$-0.73,0.0
2022-03-31,5.91,$-1.35,0.0
2021-12-31,3.69,$-2.76,0.0
2021-09-30,4.53,$-3.96,0.0
2021-06-30,5.93,$-5.12,0.0
2021-03-31,6.6,$-5.46,0.0
2020-12-31,2.41,$-5.11,0.0
2020-09-30,2.28,$-2.97,0.0
2020-06-30,1.24,$-2.35,0.0
2020-03-31,0.93,$-1.43,0.0
2019-12-31,2.07,$-0.59,0.0
2019-09-30,4.85,$1.41,3.44
2019-06-30,5.87,$0.91,6.47
2019-03-31,6.16,$-1.38,0.0
2018-12-31,6.69,$-2.55,0.0
2018-09-30,16.07,$-4.62,0.0
2018-06-30,16.79,$-3.99,0.0
2018-03-31,13.4,$0.84,16.03
2017-12-31,17.08,$3.21,5.31
2017-09-30,19.56,$6.88,2.84
2017-06-30,17.3,$4.70,3.68
2017-03-31,12.4,$1.76,7.06
2016-12-31,14.69,$-1.11,0.0
2016-09-30,14.06,$-5.33,0.0
2016-06-30,13.66,$-0.62,0.0
2016-03-31,15.05,$-0.81,0.0
2015-12-31,18.68,$-6.12,0.0
2015-09-30,16.43,$2.49,6.59
2015-06-30,19.91,$-0.44,0.0
2015-03-31,29.86,$-3.22,0.0
2014-12-31,24.92,$-0.34,0.0
2014-09-30,31.48,$-2.10,0.0
2014-06-30,23.62,$-0.65,0.0
2014-03-31,21.87,$0.28,77.15
2013-12-31,24.98,$1.25,20.02
2013-09-30,19.35,$-4.82,0.0
2013-06-30,15.85,$-3.34,0.0
2013-03-31,20.29,$-1.97,0.0
2012-12-31,20.79,$4.55,4.57
2012-09-30,16.44,$6.67,2.47
2012-06-30,21.17,$6.08,3.48
2012-03-31,20.66,$7.74,2.67
2011-12-31,19.21,$3.34,5.75
2011-09-30,13.21,$-0.53,0.0
2011-06-30,23.23,$-4.61,0.0
2011-03-31,29.8,$-5.26,0.0
2010-12-31,26.53,$-3.44,0.0
2010-09-30,22.55,$-2.39,0.0
2010-06-30,20.74,$-0.97,0.0
2010-03-31,22.15,$4.31,5.14
2009-12-31,18.12,$1.56,11.6
