Weyco Price to Free Cash Flow Ratio Historical Data,Weyco Price to Free Cash Flow Ratio Historical Data,Weyco Price to Free Cash Flow Ratio Historical Data,Weyco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.35,,7.75
2024-12-31,37.55,$3.79,9.92
2024-09-30,32.05,$5.37,5.97
2024-06-30,28.33,$7.39,3.83
2024-03-31,29.53,$9.14,3.23
2023-12-31,28.8,$10.00,2.88
2023-09-30,23.08,$7.52,3.07
2023-06-30,24.07,$3.08,7.81
2023-03-31,22.61,$-1.00,0.0
2022-12-31,18.71,$-3.35,0.0
2022-09-30,17.81,$-4.91,0.0
2022-06-30,21.24,$-4.21,0.0
2022-03-31,21.28,$-0.91,0.0
2021-12-31,20.41,$0.56,36.73
2021-09-30,19.13,$4.30,4.45
2021-06-30,18.69,$5.49,3.41
2021-03-31,17.87,$3.86,4.63
2020-12-31,12.95,$3.75,3.45
2020-09-30,13.05,$1.46,8.96
2020-06-30,17.19,$1.44,11.96
2020-03-31,15.86,$1.20,13.19
2019-12-31,20.51,$0.20,102.36
2019-09-30,17.37,$0.15,116.71
2019-06-30,20.32,$-0.38,0.0
2019-03-31,23.33,$0.67,34.74
2018-12-31,21.83,$1.12,19.48
2018-09-30,26.14,$1.72,15.19
2018-06-30,26.88,$2.46,10.94
2018-03-31,24.65,$2.29,10.78
2017-12-31,21.65,$3.10,6.99
2017-09-30,20.51,$3.16,6.5
2017-06-30,19.99,$3.38,5.92
2017-03-31,19.97,$4.29,4.65
2016-12-31,22.09,$3.87,5.71
2016-09-30,18.82,$4.09,4.6
2016-06-30,19.3,$2.58,7.49
2016-03-31,18.35,$0.35,51.73
2015-12-31,18.3,$-0.73,0.0
2015-09-30,18.36,$-0.78,0.0
2015-06-30,20.1,$-0.16,0.0
2015-03-31,20.01,$0.74,27.04
2014-12-31,19.72,$1.37,14.36
2014-09-30,16.58,$0.91,18.21
2014-06-30,17.97,$1.78,10.12
2014-03-31,17.59,$2.94,5.98
2013-12-31,19.04,$2.50,7.63
2013-09-30,18.2,$2.37,7.67
2013-06-30,16.08,$1.73,9.29
2013-03-31,15.53,$1.11,13.99
2012-12-31,14.8,$0.77,19.18
2012-09-30,15.2,$0.18,84.8
2012-06-30,14.37,$0.16,88.65
2012-03-31,14.58,$0.57,25.72
2011-12-31,15.01,$0.80,18.67
2011-09-30,13.54,$0.26,53.09
2011-06-30,14.84,$0.30,49.86
2011-03-31,14.65,$-0.08,0.0
2010-12-31,14.57,$-0.12,0.0
2010-09-30,14.32,$1.45,9.91
2010-06-30,13.37,$2.06,6.5
2010-03-31,13.71,$2.83,4.85
2009-12-31,13.7,$3.18,4.31
