Danaos Price to Free Cash Flow Ratio Historical Data,Danaos Price to Free Cash Flow Ratio Historical Data,Danaos Price to Free Cash Flow Ratio Historical Data,Danaos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.67,,0.0
2024-12-31,80.07,$-1.41,0.0
2024-09-30,85.84,$-5.28,0.0
2024-06-30,90.53,$1.79,50.66
2024-03-31,70.16,$11.03,6.36
2023-12-31,71.18,$15.68,4.54
2023-09-30,62.92,$22.91,2.75
2023-06-30,62.76,$28.33,2.22
2023-03-31,50.68,$42.06,1.2
2022-12-31,48.26,$42.18,1.14
2022-09-30,50.35,$54.04,0.93
2022-06-30,56.48,$38.06,1.48
2022-03-31,90.99,$22.85,3.98
2021-12-31,65.72,$20.80,3.16
2021-09-30,71.61,$2.33,30.79
2021-06-30,66.67,$12.53,5.32
2021-03-31,42.72,$7.70,5.55
2020-12-31,18.45,$3.99,4.62
2020-09-30,6.32,$6.33,1.0
2020-06-30,3.21,$7.20,0.45
2020-03-31,3.44,$9.82,0.35
2019-12-31,7.9,$13.05,0.61
2019-09-30,7.75,$15.98,0.48
2019-06-30,6.97,$14.95,0.47
2019-03-31,10.66,$14.55,0.73
2018-12-31,9.04,$15.24,0.59
2018-09-30,14.47,$14.87,0.97
2018-06-30,22.91,$18.24,1.26
2018-03-31,15.07,$21.51,0.7
2017-12-31,17.48,$22.52,0.78
2017-09-30,16.88,$21.51,0.78
2017-06-30,20.49,$27.17,0.75
2017-03-31,21.1,$30.51,0.69
2016-12-31,31.95,$33.49,0.95
2016-09-30,32.31,$37.79,0.86
2016-06-30,32.79,$36.29,0.9
2016-03-31,45.81,$35.50,1.29
2015-12-31,72.21,$34.65,2.08
2015-09-30,73.42,$27.16,2.7
2015-06-30,77.76,$24.80,3.14
2015-03-31,78.48,$27.42,2.86
2014-12-31,65.94,$26.00,2.54
2014-09-30,61.96,$28.69,2.16
2014-06-30,70.89,$27.82,2.55
2014-03-31,90.41,$22.85,3.96
2013-12-31,59.07,$24.92,2.37
2013-09-30,47.86,$25.55,1.87
2013-06-30,52.56,$19.28,2.73
2013-03-31,50.63,$-2.64,0.0
2012-12-31,33.15,$-25.97,0.0
2012-09-30,38.46,$-51.56,0.0
2012-06-30,50.03,$-68.21,0.0
2012-03-31,47.5,$-72.59,0.0
2011-12-31,40.39,$-75.15,0.0
2011-09-30,40.02,$-81.09,0.0
2011-06-30,66.3,$-70.30,0.0
2011-03-31,81.74,$-97.22,0.0
2010-12-31,45.09,$-94.49,0.0
2010-09-30,53.41,$-77.53,0.0
2010-06-30,45.93,$-96.23,0.0
2010-03-31,50.87,$-60.12,0.0
2009-12-31,53.77,$-71.82,0.0
