Golar LNG Price to Free Cash Flow Ratio Historical Data,Golar LNG Price to Free Cash Flow Ratio Historical Data,Golar LNG Price to Free Cash Flow Ratio Historical Data,Golar LNG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.3,,0.0
2024-03-31,23.52,$-0.47,0.0
2023-12-31,22.22,0,0.0
2023-03-31,20.17,$0.31,64.58
2022-06-30,21.25,0,0.0
2022-03-31,23.14,$-0.37,0.0
2021-12-31,11.57,0,0.0
2021-09-30,12.11,$0.35,34.83
2021-06-30,12.38,$0.35,35.58
2021-03-31,9.55,$1.39,6.88
2020-12-31,9.0,$0.35,25.89
2020-09-30,5.66,0,0.0
2020-06-30,6.76,0,0.0
2020-03-31,7.36,$-1.04,0.0
2019-12-31,13.28,0,0.0
2019-09-30,12.13,0,0.0
2019-06-30,17.26,0,0.0
2019-03-31,19.52,0,0.0
2018-12-31,20.0,0,0.0
2018-09-30,25.4,0,0.0
2018-06-30,26.78,0,0.0
2018-03-31,24.83,0,0.0
2017-12-31,27.01,0,0.0
2017-09-30,20.45,0,0.0
2017-06-30,20.07,0,0.0
2017-03-31,25.14,0,0.0
2016-12-31,20.61,0,0.0
2016-09-30,19.01,0,0.0
2016-06-30,13.86,0,0.0
2016-03-31,16.02,0,0.0
2015-12-31,14.04,0,0.0
2015-09-30,24.18,$-16.57,0.0
2015-06-30,40.12,$-9.78,0.0
2015-03-31,28.26,$-16.57,0.0
2014-12-31,30.54,$-16.57,0.0
2014-09-30,55.03,0,0.0
2014-06-30,49.45,$-6.79,0.0
2014-03-31,33.98,0,0.0
2013-12-31,29.24,0,0.0
2013-09-30,29.97,0,0.0
2013-06-30,25.07,0,0.0
2013-03-31,28.69,0,0.0
2012-12-31,28.53,0,0.0
2012-09-30,29.27,$2.11,13.87
2012-06-30,28.3,0,0.0
2012-03-31,28.27,$-0.14,0.0
2011-12-31,32.76,0,0.0
2011-09-30,23.26,$-1.21,0.0
2011-06-30,25.31,$0.53,47.51
2011-03-31,18.41,$0.68,27.04
2010-12-31,10.63,$0.26,40.23
2010-09-30,8.71,$-0.67,0.0
2010-06-30,6.67,$-0.90,0.0
2010-03-31,7.87,$-1.18,0.0
2009-12-31,8.3,$-1.05,0.0
