B&G Foods Price to Free Cash Flow Ratio Historical Data,B&G Foods Price to Free Cash Flow Ratio Historical Data,B&G Foods Price to Free Cash Flow Ratio Historical Data,B&G Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.9,,5.26
2024-12-31,6.89,$1.31,5.25
2024-09-30,8.88,$0.83,10.7
2024-06-30,7.91,$1.72,4.6
2024-03-31,10.94,$2.43,4.51
2023-12-31,9.88,$2.99,3.3
2023-09-30,9.14,$3.10,2.95
2023-06-30,12.62,$1.34,9.43
2023-03-31,13.89,$0.42,33.07
2022-12-31,9.85,$-0.23,0.0
2022-09-30,14.33,$0.27,52.18
2022-06-30,20.1,$0.17,116.7
2022-03-31,22.34,$0.81,27.64
2021-12-31,25.0,$0.77,32.68
2021-09-30,23.95,$0.33,72.17
2021-06-30,25.89,$0.98,26.37
2021-03-31,24.17,$3.36,7.19
2020-12-31,21.25,$3.95,5.39
2020-09-30,20.93,$3.82,5.48
2020-06-30,18.07,$3.75,4.81
2020-03-31,13.15,$0.23,56.76
2019-12-31,12.68,$0.06,196.55
2019-09-30,13.02,$6.74,1.93
2019-06-30,13.97,$7.53,1.86
2019-03-31,16.04,$8.48,1.89
2018-12-31,18.62,$8.87,2.1
2018-09-30,17.41,$1.91,9.1
2018-06-30,18.64,$1.10,17.01
2018-03-31,14.56,$0.82,17.79
2017-12-31,21.19,$-0.33,0.0
2017-09-30,18.95,$0.79,24.05
2017-06-30,20.86,$0.81,25.73
2017-03-31,23.29,$1.77,13.14
2016-12-31,25.07,$3.90,6.43
2016-09-30,27.85,$3.25,8.57
2016-06-30,27.06,$4.04,6.7
2016-03-31,19.37,$3.29,5.89
2015-12-31,19.25,$1.94,9.92
2015-09-30,19.84,$1.89,10.49
2015-06-30,15.38,$1.88,8.19
2015-03-31,15.69,$1.61,9.72
2014-12-31,15.76,$1.49,10.57
2014-09-30,14.36,$1.62,8.87
2014-06-30,16.83,$1.68,10.02
2014-03-31,15.34,$2.02,7.6
2013-12-31,17.08,$1.89,9.06
2013-09-30,17.23,$2.01,8.57
2013-06-30,16.83,$1.77,9.53
2013-03-31,14.94,$1.82,8.21
2012-12-31,13.74,$1.81,7.58
2012-09-30,14.56,$1.54,9.47
2012-06-30,12.67,$1.56,8.13
2012-03-31,10.61,$1.46,7.29
2011-12-31,11.22,$1.27,8.86
2011-09-30,7.7,$1.38,5.59
2011-06-30,9.4,$1.47,6.38
2011-03-31,8.47,$1.62,5.24
2010-12-31,6.13,$1.82,3.36
2010-09-30,4.81,$1.74,2.76
2010-06-30,4.68,$1.80,2.6
2010-03-31,4.48,$1.51,2.97
2009-12-31,3.86,$1.33,2.91
