Lineage Cell Therapeutics Price to Free Cash Flow Ratio Historical Data,Lineage Cell Therapeutics Price to Free Cash Flow Ratio Historical Data,Lineage Cell Therapeutics Price to Free Cash Flow Ratio Historical Data,Lineage Cell Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.5,,0.0
2024-12-31,0.5,$-0.12,0.0
2024-09-30,0.91,$-0.13,0.0
2024-06-30,1.0,$-0.12,0.0
2024-03-31,1.48,$-0.13,0.0
2023-12-31,1.09,$-0.17,0.0
2023-09-30,1.18,$-0.18,0.0
2023-06-30,1.41,$-0.19,0.0
2023-03-31,1.5,$-0.19,0.0
2022-12-31,1.17,$0.00,0.0
2022-09-30,1.13,$0.01,80.71
2022-06-30,1.58,$0.02,75.6
2022-03-31,1.54,$0.03,50.83
2021-12-31,2.45,$-0.15,0.0
2021-09-30,2.52,$-0.14,0.0
2021-06-30,2.85,$-0.15,0.0
2021-03-31,2.35,$-0.15,0.0
2020-12-31,1.76,$-0.13,0.0
2020-09-30,0.94,$-0.14,0.0
2020-06-30,0.87,$-0.15,0.0
2020-03-31,0.83,$-0.18,0.0
2019-12-31,0.89,$-0.22,0.0
2019-09-30,0.98,$-0.23,0.0
2019-06-30,1.1,$-0.24,0.0
2019-03-31,1.31,$-0.24,0.0
2018-12-31,0.91,$-0.25,0.0
2018-09-30,2.2,$-0.26,0.0
2018-06-30,1.92,$-0.26,0.0
2018-03-31,2.51,$-0.28,0.0
2017-12-31,2.01,$-0.28,0.0
2017-09-30,2.65,$-0.33,0.0
2017-06-30,2.94,$-0.34,0.0
2017-03-31,3.22,$-0.36,0.0
2016-12-31,3.37,$-0.45,0.0
2016-09-30,3.64,$-0.53,0.0
2016-06-30,2.44,$-0.62,0.0
2016-03-31,2.68,$-0.67,0.0
2015-12-31,3.56,$-0.63,0.0
2015-09-30,2.61,$-0.59,0.0
2015-06-30,3.15,$-0.52,0.0
2015-03-31,4.32,$-0.53,0.0
2014-12-31,3.24,$-0.60,0.0
2014-09-30,2.73,$-0.62,0.0
2014-06-30,2.65,$-0.65,0.0
2014-03-31,2.86,$-0.62,0.0
2013-12-31,3.13,$-0.59,0.0
2013-09-30,3.3,$-0.52,0.0
2013-06-30,3.44,$-0.50,0.0
2013-03-31,3.32,$-0.44,0.0
2012-12-31,2.73,$-0.41,0.0
2012-09-30,3.65,$-0.40,0.0
2012-06-30,4.0,$-0.37,0.0
2012-03-31,3.83,$-0.35,0.0
2011-12-31,5.05,$-0.31,0.0
2011-09-30,3.83,$-0.29,0.0
2011-06-30,4.46,$-0.25,0.0
2011-03-31,6.48,$-0.24,0.0
2010-12-31,7.24,$-0.20,0.0
2010-09-30,4.13,$-0.16,0.0
2010-06-30,5.35,$-0.16,0.0
2010-03-31,6.2,$-0.14,0.0
2009-12-31,3.68,$-0.15,0.0
