Community Healthcare Trust Price to Free Cash Flow Ratio Historical Data,Community Healthcare Trust Price to Free Cash Flow Ratio Historical Data,Community Healthcare Trust Price to Free Cash Flow Ratio Historical Data,Community Healthcare Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.44,,0.0
2024-12-31,19.21,$-1.35,0.0
2024-09-30,17.71,$-1.51,0.0
2024-06-30,22.25,$-3.05,0.0
2024-03-31,24.79,$-2.63,0.0
2023-12-31,24.46,$-2.24,0.0
2023-09-30,26.81,$-3.86,0.0
2023-06-30,29.42,$-2.59,0.0
2023-03-31,32.2,$-2.90,0.0
2022-12-31,31.16,$-1.98,0.0
2022-09-30,28.14,$-0.19,0.0
2022-06-30,30.77,$0.15,202.05
2022-03-31,35.44,$0.75,47.44
2021-12-31,39.29,$-1.62,0.0
2021-09-30,37.22,$-4.45,0.0
2021-06-30,38.74,$-4.10,0.0
2021-03-31,37.3,$-4.74,0.0
2020-12-31,37.75,$-3.95,0.0
2020-09-30,37.14,$-2.70,0.0
2020-06-30,32.2,$-5.49,0.0
2020-03-31,29.77,$-6.37,0.0
2019-12-31,33.06,$-6.53,0.0
2019-09-30,34.05,$-5.60,0.0
2019-06-30,29.83,$-3.43,0.0
2019-03-31,26.87,$-2.23,0.0
2018-12-31,21.34,$-1.25,0.0
2018-09-30,22.61,$-3.50,0.0
2018-06-30,21.52,$-3.78,0.0
2018-03-31,18.26,$-6.13,0.0
2017-12-31,19.61,$-7.59,0.0
2017-09-30,18.55,$-8.97,0.0
2017-06-30,17.35,$-9.04,0.0
2017-03-31,15.95,$-6.82,0.0
2016-12-31,15.11,$-7.94,0.0
2016-09-30,14.12,$-17.50,0.0
2016-06-30,13.4,$-5.77,0.0
2016-03-31,11.48,$-29.88,0.0
