First American Financial Price to Free Cash Flow Ratio Historical Data,First American Financial Price to Free Cash Flow Ratio Historical Data,First American Financial Price to Free Cash Flow Ratio Historical Data,First American Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,65.41,,10.04
2024-12-31,62.44,$6.52,9.58
2024-09-30,65.49,$3.03,21.65
2024-06-30,53.08,$2.70,19.69
2024-03-31,59.47,$2.52,23.59
2023-12-31,62.19,$0.87,71.48
2023-09-30,54.05,$3.41,15.87
2023-06-30,54.09,$4.21,12.85
2023-03-31,52.32,$3.45,15.17
2022-12-31,48.73,$4.89,9.97
2022-09-30,42.49,$6.00,7.08
2022-06-30,48.3,$6.91,6.99
2022-03-31,58.66,$7.87,7.46
2021-12-31,70.24,$9.67,7.26
2021-09-30,59.81,$10.35,5.78
2021-06-30,55.2,$9.63,5.73
2021-03-31,49.8,$10.40,4.79
2020-12-31,44.98,$8.72,5.16
2020-09-30,43.93,$7.75,5.67
2020-06-30,41.09,$7.80,5.27
2020-03-31,35.99,$7.11,5.06
2019-12-31,49.16,$7.10,6.93
2019-09-30,49.42,$7.15,6.91
2019-06-30,44.65,$6.39,6.99
2019-03-31,42.49,$5.85,7.26
2018-12-31,36.52,$5.98,6.11
2018-09-30,41.82,$4.82,8.68
2018-06-30,41.62,$4.73,8.79
2018-03-31,46.88,$4.92,9.52
2017-12-31,44.48,$4.52,9.85
2017-09-30,39.39,$5.10,7.73
2017-06-30,34.94,$4.00,8.74
2017-03-31,30.47,$3.78,8.06
2016-12-31,28.17,$3.30,8.55
2016-09-30,29.93,$2.95,10.16
2016-06-30,30.4,$3.79,8.02
2016-03-31,28.61,$4.21,6.8
2015-12-31,26.76,$4.05,6.61
2015-09-30,28.94,$4.01,7.22
2015-06-30,27.38,$3.60,7.61
2015-03-31,26.07,$2.84,9.19
2014-12-31,24.59,$2.53,9.7
2014-09-30,19.53,$2.02,9.69
2014-06-30,19.84,$1.64,12.11
2014-03-31,18.8,$2.15,8.74
2013-12-31,19.87,$2.72,7.3
2013-09-30,17.08,$3.15,5.42
2013-06-30,15.38,$3.74,4.11
2013-03-31,17.75,$2.90,6.11
2012-12-31,16.64,$3.26,5.11
2012-09-30,14.89,$2.61,5.7
2012-06-30,11.61,$1.87,6.21
2012-03-31,11.33,$1.09,10.43
2011-12-31,8.59,$0.71,12.05
2011-09-30,8.64,$0.83,10.42
2011-06-30,10.51,$0.82,12.81
2011-03-31,11.04,$0.12,93.9
