Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,119.84,,30.85
2024-12-31,116.02,$3.89,29.86
2024-09-30,134.64,$3.67,36.67
2024-06-30,134.88,$4.01,33.63
2024-03-31,128.53,$3.04,42.29
2023-12-31,113.4,$2.60,43.64
2023-09-30,89.97,$2.53,35.58
2023-06-30,110.95,$2.04,54.31
2023-03-31,102.81,$2.50,41.07
2022-12-31,108.22,$2.17,49.97
2022-09-30,85.28,$1.27,67.18
2022-06-30,76.07,$0.81,94.2
2022-03-31,82.65,$1.47,56.05
2021-12-31,115.86,$1.83,63.15
2021-09-30,119.24,$2.83,42.07
2021-06-30,115.41,$3.77,30.62
2021-03-31,100.95,$3.48,29.01
2020-12-31,97.42,$3.54,27.52
2020-09-30,80.27,$3.62,22.16
2020-06-30,61.78,$3.42,18.05
2020-03-31,61.71,$3.01,20.48
2019-12-31,74.43,$3.38,22.0
2019-09-30,75.0,$2.25,33.3
2019-06-30,78.53,$1.85,42.34
2019-03-31,73.97,$1.99,37.11
2018-12-31,62.24,$1.93,32.3
2018-09-30,74.27,$2.56,29.03
2018-06-30,62.48,$2.95,21.21
2018-03-31,71.12,$2.82,25.23
2017-12-31,62.88,$2.86,22.0
2017-09-30,57.58,$2.56,22.53
2017-06-30,50.81,$2.14,23.78
2017-03-31,45.88,$2.11,21.79
2016-12-31,45.07,$2.08,21.69
2016-09-30,47.59,$1.92,24.75
2016-06-30,40.39,$1.90,21.28
2016-03-31,36.86,$1.92,19.19
2015-12-31,32.76,$1.91,17.16
2015-09-30,29.37,$1.66,17.69
2015-06-30,33.0,$1.71,19.31
2015-03-31,31.06,$1.64,18.88
2014-12-31,33.63,$1.62,20.72
2014-09-30,31.24,$1.64,19.02
2014-06-30,34.28,$1.35,25.47
2014-03-31,31.84,$1.12,28.34
2013-12-31,30.15,$1.10,27.49
2013-09-30,24.24,$1.16,20.97
2013-06-30,23.27,$1.20,19.43
2013-03-31,23.71,$1.34,17.66
2012-12-31,23.22,$1.55,14.96
2012-09-30,21.46,$2.62,8.18
