Profire Energy Price to Free Cash Flow Ratio Historical Data,Profire Energy Price to Free Cash Flow Ratio Historical Data,Profire Energy Price to Free Cash Flow Ratio Historical Data,Profire Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,2.54,,0.0
2024-09-30,1.68,$-0.06,0.0
2024-06-30,1.42,$-0.03,0.0
2023-12-31,1.81,$0.13,14.37
2023-09-30,2.78,$0.12,23.07
2023-06-30,1.23,$0.04,31.54
2023-03-31,1.24,$-0.02,0.0
2022-12-31,1.06,$0.01,73.1
2024-03-31,1.85,$-0.09,0.0
2022-09-30,0.85,$-0.03,0.0
2022-06-30,1.44,$-0.00,0.0
2022-03-31,1.3,$-0.05,0.0
2021-12-31,1.06,$0.01,77.37
2021-09-30,1.15,$0.02,48.73
2021-06-30,1.13,$0.02,59.79
2021-03-31,1.1,$0.03,41.35
2020-12-31,0.85,$-0.02,0.0
2020-09-30,0.74,$0.06,13.28
2020-06-30,0.84,$0.05,17.23
2020-03-31,0.79,$0.11,7.04
2019-12-31,1.45,$0.16,8.91
2019-09-30,1.89,$0.11,17.28
2019-06-30,1.51,$0.15,10.31
2019-03-31,1.79,$0.10,18.61
2018-12-31,1.45,$0.08,18.57
2018-09-30,3.19,$0.11,28.11
2018-06-30,3.38,$0.13,25.15
2018-03-31,2.73,$0.13,20.27
2017-12-31,1.92,$0.15,13.21
2017-09-30,1.99,$0.02,87.67
2017-06-30,1.3,$0.01,0.0
2017-03-31,1.41,$0.01,0.0
2016-12-31,1.38,0,0.0
2016-09-30,1.24,$0.07,16.6
2016-06-30,1.11,$0.10,11.27
2016-03-31,0.97,$0.14,6.98
2015-12-31,0.99,$0.11,9.08
2015-09-30,0.96,$0.05,17.98
2015-06-30,1.12,$-0.03,0.0
2015-03-31,1.35,$-0.09,0.0
2014-12-31,2.28,$-0.09,0.0
2014-09-30,4.15,$-0.03,0.0
2014-06-30,4.51,$-0.01,0.0
2014-03-31,3.27,$0.02,215.13
2013-12-31,3.65,$0.02,240.13
2013-09-30,2.2,$-0.01,0.0
2013-06-30,1.37,$-0.00,0.0
2013-03-31,1.4,$-0.00,0.0
2012-12-31,1.39,$-0.00,0.0
2012-09-30,1.35,$0.00,0.0
2012-06-30,1.3,$0.02,67.36
2012-03-31,1.65,$-0.01,0.0
2011-12-31,0.75,$-0.01,0.0
2011-09-30,0.98,$-0.02,0.0
2011-06-30,0.25,$-0.04,0.0
2011-03-31,0.48,$-0.02,0.0
2010-12-31,0.25,$-0.02,0.0
