Black Hills Price to Free Cash Flow Ratio Historical Data,Black Hills Price to Free Cash Flow Ratio Historical Data,Black Hills Price to Free Cash Flow Ratio Historical Data,Black Hills Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.4,,0.0
2024-12-31,58.52,$-0.36,0.0
2024-09-30,60.5,$1.34,45.15
2024-06-30,53.22,$2.41,22.1
2024-03-31,52.83,$3.46,15.27
2023-12-31,51.57,$5.79,8.9
2023-09-30,47.77,$4.23,11.3
2023-06-30,56.27,$2.56,21.96
2023-03-31,58.34,$0.90,64.69
2022-12-31,64.41,$-0.30,0.0
2022-09-30,61.44,$-1.16,0.0
2022-06-30,65.52,$-0.39,0.0
2022-03-31,68.81,$-1.26,0.0
2021-12-31,62.49,$-11.72,0.0
2021-09-30,55.06,$-11.88,0.0
2021-06-30,57.13,$-12.04,0.0
2021-03-31,57.63,$-12.43,0.0
2020-12-31,52.56,$-3.61,0.0
2020-09-30,45.36,$-3.63,0.0
2020-06-30,47.61,$-5.31,0.0
2020-03-31,53.29,$-5.35,0.0
2019-12-31,64.96,$-5.15,0.0
2019-09-30,63.01,$-4.65,0.0
2019-06-30,63.78,$-2.72,0.0
2019-03-31,60.03,$-0.75,0.0
2018-12-31,50.52,$0.56,89.58
2018-09-30,46.37,$2.24,20.74
2018-06-30,48.49,$2.72,17.84
2018-03-31,42.65,$2.24,19.06
2017-12-31,46.79,$1.86,25.22
2017-09-30,53.18,$1.25,42.41
2017-06-30,51.77,$-0.26,0.0
2017-03-31,50.67,$-2.01,0.0
2016-12-31,46.43,$-2.52,0.0
2016-09-30,46.01,$0.80,57.72
2016-06-30,47.03,$2.11,22.33
2016-03-31,44.55,$3.68,12.12
2015-12-31,34.12,$3.49,9.78
2015-09-30,30.11,$-0.85,0.0
2015-06-30,31.49,$-0.71,0.0
2015-03-31,36.07,$-1.43,0.0
2014-12-31,37.62,$-1.87,0.0
2014-09-30,33.72,$-1.60,0.0
2014-06-30,42.91,$-1.89,0.0
2014-03-31,40.02,$-1.38,0.0
2013-12-31,36.19,$-0.68,0.0
2013-09-30,34.11,$-0.97,0.0
2013-06-30,33.11,$5.52,6.0
2013-03-31,29.68,$5.40,5.49
2012-12-31,24.27,$5.03,4.83
2012-09-30,23.5,$3.93,5.99
2012-06-30,21.01,$-3.72,0.0
2012-03-31,21.64,$-4.49,0.0
2011-12-31,21.45,$-5.40,0.0
2011-09-30,19.35,$-6.29,0.0
2011-06-30,18.77,$-7.06,0.0
2011-03-31,20.62,$-7.17,0.0
2010-12-31,18.28,$-6.56,0.0
2010-09-30,18.78,$-5.96,0.0
2010-06-30,16.94,$-4.64,0.0
2010-03-31,17.85,$-4.12,0.0
2009-12-31,15.45,$0.22,70.18
