Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data,Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data,Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data,Broadridge Financial Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,233.81,,30.65
2024-12-31,226.09,$7.63,29.64
2024-09-30,214.22,$7.23,29.65
2024-06-30,195.44,$7.92,24.68
2024-03-31,202.41,$8.06,25.13
2023-12-31,202.48,$8.02,25.26
2023-09-30,175.48,$7.48,23.46
2023-06-30,161.64,$6.29,25.71
2023-03-31,142.38,$4.10,34.74
2022-12-31,129.61,$3.21,40.43
2022-09-30,138.75,$2.57,53.98
2022-06-30,136.45,$3.13,43.65
2022-03-31,148.34,$3.00,49.44
2021-12-31,173.39,$3.26,53.19
2021-09-30,157.48,$3.88,40.58
2021-06-30,152.08,$4.73,32.14
2021-03-31,143.63,$4.72,30.41
2020-12-31,143.15,$4.97,28.82
2020-09-30,122.86,$4.75,25.85
2020-06-30,116.96,$4.27,27.4
2020-03-31,87.49,$3.84,22.8
2019-12-31,113.34,$3.88,29.22
2019-09-30,113.65,$4.60,24.71
2019-06-30,116.11,$4.58,25.34
2019-03-31,93.95,$4.71,19.96
2018-12-31,86.8,$4.64,18.71
2018-09-30,118.41,$5.10,23.22
2018-06-30,102.92,$4.95,20.8
2018-03-31,97.77,$4.25,23.0
2017-12-31,80.46,$4.38,18.37
2017-09-30,71.5,$3.09,23.13
2017-06-30,66.54,$3.33,19.98
2017-03-31,59.58,$2.78,21.46
2016-12-31,57.85,$2.56,22.63
2016-09-30,58.85,$2.46,23.9
2016-06-30,56.33,$2.98,18.91
2016-03-31,51.0,$2.85,17.92
2015-12-31,45.96,$2.60,17.65
2015-09-30,47.08,$2.53,18.59
2015-06-30,42.3,$2.95,14.35
2015-03-31,46.28,$2.63,17.6
2014-12-31,38.65,$2.72,14.23
2014-09-30,34.63,$3.02,11.47
2014-06-30,34.42,$2.80,12.3
2014-03-31,30.54,$2.75,11.09
2013-12-31,32.32,$1.94,16.63
2013-09-30,25.82,$1.90,13.59
2013-06-30,21.47,$1.86,11.57
2013-03-31,19.93,$1.72,11.57
2012-12-31,18.22,$1.88,9.68
2012-09-30,18.44,$1.69,10.91
2012-06-30,16.69,$2.01,8.28
2012-03-31,18.61,$1.75,10.64
2011-12-31,17.44,$1.74,10.01
2011-09-30,15.46,$1.65,9.37
2011-06-30,18.33,$1.26,14.55
2011-03-31,17.17,$1.28,13.37
2010-12-31,16.48,$1.63,10.13
2010-09-30,17.07,$1.86,9.19
2010-06-30,14.12,$2.28,6.19
2010-03-31,15.74,$2.08,7.57
2009-12-31,16.5,$2.53,6.53
