Rogers Communication Price to Free Cash Flow Ratio Historical Data,Rogers Communication Price to Free Cash Flow Ratio Historical Data,Rogers Communication Price to Free Cash Flow Ratio Historical Data,Rogers Communication Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.91,,12.48
2024-12-31,30.73,$2.24,13.74
2024-09-30,39.64,$2.68,14.78
2024-06-30,36.13,$2.47,14.63
2024-03-31,39.68,$2.63,15.09
2023-12-31,44.92,$1.82,24.69
2023-09-30,36.55,$1.77,20.64
2023-06-30,43.05,$1.23,34.97
2023-03-31,43.36,$1.26,34.41
2022-12-31,43.45,$2.16,20.16
2022-09-30,35.46,$2.07,17.13
2022-06-30,43.67,$2.46,17.73
2022-03-31,51.32,$2.12,24.25
2021-12-31,42.76,$2.17,19.75
2021-09-30,41.51,$2.10,19.78
2021-06-30,46.92,$1.99,23.54
2021-03-31,40.38,$2.73,14.8
2020-12-31,40.47,$2.96,13.65
2020-09-30,34.16,$3.09,11.06
2020-06-30,34.31,$3.28,10.48
2020-03-31,35.16,$2.51,14.01
2019-12-31,41.7,$2.53,16.51
2019-09-30,40.59,$2.33,17.4
2019-06-30,44.24,$2.24,19.71
2019-03-31,44.17,$2.37,18.67
2018-12-31,41.78,$2.24,18.66
2018-09-30,41.62,$2.28,18.29
2018-06-30,38.15,$2.55,14.94
2018-03-31,35.64,$2.51,14.2
2017-12-31,40.3,$2.24,17.98
2017-09-30,40.48,$2.49,16.27
2017-06-30,36.8,$2.26,16.29
2017-03-31,34.2,$2.44,14.01
2016-12-31,29.58,$2.34,12.62
2016-09-30,32.23,$2.02,15.94
2016-06-30,30.43,$2.38,12.81
2016-03-31,29.86,$2.43,12.27
2015-12-31,25.48,$1.98,12.86
2015-09-30,25.24,$2.29,11.02
2015-06-30,25.74,$1.75,14.69
2015-03-31,23.98,$2.09,11.48
2014-12-31,27.52,$2.33,11.79
2014-09-30,26.23,$2.72,9.66
2014-06-30,27.92,$2.76,10.13
2014-03-31,28.45,$2.48,11.45
2013-12-31,30.74,$3.29,9.35
2013-09-30,28.96,$2.46,11.76
2013-06-30,26.13,$3.12,8.38
2013-03-31,33.71,$3.24,10.39
2012-12-31,29.79,$2.73,10.91
2012-09-30,26.21,$3.07,8.52
2012-06-30,23.26,$2.73,8.51
2012-03-31,25.22,$2.66,9.47
2011-12-31,24.22,$3.14,7.71
2011-09-30,21.31,$3.33,6.39
2011-06-30,24.39,$2.86,8.54
2011-03-31,22.24,$2.90,7.66
2010-12-31,20.94,$3.07,6.83
2010-09-30,22.43,$2.94,7.62
2010-06-30,19.46,$3.49,5.58
2010-03-31,20.1,$3.16,6.35
2009-12-31,18.08,$2.80,6.45
