Mobile Infrastructure Price to Free Cash Flow Ratio Historical Data,Mobile Infrastructure Price to Free Cash Flow Ratio Historical Data,Mobile Infrastructure Price to Free Cash Flow Ratio Historical Data,Mobile Infrastructure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.09,,37.94
2024-12-31,4.5,$0.11,41.74
2024-09-30,3.28,$-0.10,0.0
2024-06-30,3.43,$-0.10,0.0
2024-03-31,3.65,$-0.11,0.0
2023-12-31,4.05,$-0.19,0.0
2023-09-30,3.49,$-0.18,0.0
2023-06-30,10.83,$-1.48,0.0
2023-03-31,10.21,$-1.50,0.0
2022-12-31,10.04,$-1.37,0.0
2022-09-30,9.84,$-1.34,0.0
2022-06-30,9.73,$-0.04,0.0
2022-03-31,9.71,$-0.31,0.0
