AquaBounty Technologies Price to Free Cash Flow Ratio Historical Data,AquaBounty Technologies Price to Free Cash Flow Ratio Historical Data,AquaBounty Technologies Price to Free Cash Flow Ratio Historical Data,AquaBounty Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.59,,0.0
2024-09-30,1.22,$-3.73,0.0
2024-06-30,1.61,$-11.71,0.0
2024-03-31,2.02,$-18.09,0.0
2023-12-31,2.85,$-24.23,0.0
2023-09-30,4.78,$-28.71,0.0
2023-06-30,7.1,$-26.64,0.0
2023-03-31,11.9,$-27.54,0.0
2022-12-31,15.28,$-23.08,0.0
2022-09-30,15.62,$-18.51,0.0
2022-06-30,34.2,$-15.66,0.0
2022-03-31,37.4,$-8.89,0.0
2021-12-31,42.0,$-7.54,0.0
2021-09-30,81.4,$-8.68,0.0
2021-06-30,107.2,$-8.35,0.0
2021-03-31,134.0,$-9.17,0.0
2020-12-31,175.2,$-9.99,0.0
2020-09-30,89.6,$-10.89,0.0
2020-06-30,64.4,$-13.02,0.0
2020-03-31,32.6,$-12.80,0.0
2019-12-31,43.4,$-13.50,0.0
2019-09-30,50.0,$-13.70,0.0
2019-06-30,61.4,$-13.87,0.0
2019-03-31,43.8,$-16.95,0.0
2018-12-31,41.0,$-21.19,0.0
2018-09-30,64.2,$-26.90,0.0
2018-06-30,66.6,$-30.57,0.0
2018-03-31,59.0,$-64.31,0.0
2017-12-31,70.4,$-63.82,0.0
