Sanara MedTech Price to Free Cash Flow Ratio Historical Data,Sanara MedTech Price to Free Cash Flow Ratio Historical Data,Sanara MedTech Price to Free Cash Flow Ratio Historical Data,Sanara MedTech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.94,,0.0
2024-09-30,30.24,$-0.24,0.0
2024-06-30,28.22,$-0.37,0.0
2024-03-31,37.0,$-0.40,0.0
2023-12-31,41.1,$-0.42,0.0
2023-09-30,31.13,$-0.42,0.0
2023-06-30,40.1,$-0.74,0.0
2023-03-31,41.25,$-0.65,0.0
2022-12-31,45.5,$-0.72,0.0
2022-09-30,29.69,$-0.89,0.0
2022-06-30,20.86,$-0.87,0.0
2022-03-31,28.48,$-0.78,0.0
2021-12-31,29.55,$-0.68,0.0
2021-09-30,34.29,$-0.64,0.0
2021-06-30,36.95,$-0.57,0.0
2021-03-31,31.15,$-0.54,0.0
2020-12-31,49.9,$-0.80,0.0
