Adicet Bio Price to Free Cash Flow Ratio Historical Data,Adicet Bio Price to Free Cash Flow Ratio Historical Data,Adicet Bio Price to Free Cash Flow Ratio Historical Data,Adicet Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.76,,0.0
2024-12-31,0.96,$-1.06,0.0
2024-09-30,1.44,$-1.31,0.0
2024-06-30,1.21,$-1.58,0.0
2024-03-31,2.35,$-1.97,0.0
2023-12-31,1.89,$-2.28,0.0
2023-09-30,1.37,$-2.36,0.0
2023-06-30,2.43,$-2.32,0.0
2023-03-31,5.76,$-2.14,0.0
2022-12-31,8.94,$-1.50,0.0
2022-09-30,14.22,$-1.45,0.0
2022-06-30,14.6,$-1.51,0.0
2022-03-31,19.97,$-1.43,0.0
2021-12-31,17.49,$-2.07,0.0
2021-09-30,7.84,$-1.77,0.0
2021-06-30,10.29,$2.76,3.72
2021-03-31,13.08,$-2.42,0.0
2020-12-31,14.05,$-5.81,0.0
2020-09-30,11.89,$-9.14,0.0
2020-06-30,2.15,$-17.87,0.0
2020-03-31,1.03,$-14.57,0.0
2019-12-31,1.49,$-13.48,0.0
2019-09-30,8.84,$-12.64,0.0
2019-06-30,10.2,$-10.60,0.0
2019-03-31,6.82,$-10.23,0.0
2018-12-31,8.62,$-9.79,0.0
