Wipro Price to Free Cash Flow Ratio Historical Data,Wipro Price to Free Cash Flow Ratio Historical Data,Wipro Price to Free Cash Flow Ratio Historical Data,Wipro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,15.62
2024-12-31,3.54,$0.19,18.43
2024-09-30,3.24,$0.19,16.65
2024-06-30,3.05,$0.20,15.63
2024-03-31,2.88,$0.19,14.98
2023-12-31,2.78,$0.18,15.56
2023-09-30,2.41,$0.17,14.2
2023-06-30,2.36,$0.17,13.7
2023-03-31,2.24,$0.13,17.37
2022-12-31,2.32,$0.11,20.77
2022-09-30,2.34,$0.10,24.09
2022-06-30,2.64,$0.07,37.49
2022-03-31,3.81,$0.11,34.66
2021-12-31,4.81,$0.10,46.34
2021-09-30,4.35,$0.12,35.9
2021-06-30,3.85,$0.15,26.08
2021-03-31,3.12,$0.16,20.1
2020-12-31,2.78,$0.14,19.38
2020-09-30,2.31,$0.13,17.99
2020-06-30,1.63,$0.10,15.58
2020-03-31,1.52,$0.09,17.11
2019-12-31,1.84,$0.12,15.32
2019-09-30,1.79,$0.12,14.34
2019-06-30,2.12,$0.11,18.88
2019-03-31,1.95,$0.11,17.03
2018-12-31,1.88,$0.08,23.17
2018-09-30,1.91,$0.08,25.45
2018-06-30,1.76,$0.08,23.12
2018-03-31,1.89,$0.08,24.64
2017-12-31,2.0,$0.10,19.18
2017-09-30,2.08,$0.10,21.2
2017-06-30,1.9,$0.11,17.81
2017-03-31,1.87,$0.09,21.53
2016-12-31,1.76,$0.07,23.56
2016-09-30,1.77,$0.07,23.82
2016-06-30,2.25,$0.09,25.9
2016-03-31,2.29,$0.08,30.29
2015-12-31,2.09,$0.10,20.05
2015-09-30,2.22,$0.09,23.7
2015-06-30,2.15,$0.08,26.24
2015-03-31,2.39,$0.11,21.36
2014-09-30,2.17,$0.08,26.25
2014-06-30,2.1,$0.09,24.12
2014-03-31,2.37,$0.08,31.15
2013-12-31,2.22,$0.08,29.44
2013-09-30,1.81,$0.11,15.76
2013-06-30,1.28,$0.09,15.01
2013-03-31,1.76,$0.08,20.85
2012-12-31,1.52,$0.08,19.66
2012-09-30,1.55,$0.03,48.76
2012-06-30,1.59,$0.05,34.5
2012-03-31,1.89,$0.04,50.69
2011-12-31,1.75,$0.04,45.22
2011-09-30,1.58,$0.03,47.29
2011-06-30,2.26,$0.04,60.8
2011-03-31,2.49,$0.04,56.63
2010-12-31,2.62,$0.03,76.48
2010-09-30,2.45,$0.04,62.39
2010-06-30,2.03,$0.05,43.2
2010-03-31,2.33,$0.06,39.9
2009-12-31,2.22,$0.07,30.7
