Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data,Rockwell Automation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,258.09,,30.48
2024-12-31,285.79,$8.47,33.75
2024-09-30,267.22,$5.58,47.87
2024-06-30,272.67,$9.09,29.98
2024-03-31,287.25,$9.08,31.63
2023-12-31,304.77,$9.83,30.99
2023-09-30,279.26,$10.50,26.59
2023-06-30,320.56,$6.86,46.76
2023-03-31,284.3,$7.58,37.5
2022-12-31,248.55,$6.63,37.51
2022-09-30,206.66,$5.84,35.36
2022-06-30,190.65,$4.14,46.07
2022-03-31,266.4,$5.07,52.5
2021-12-31,330.49,$6.59,50.12
2021-09-30,277.64,$9.74,28.5
2021-06-30,269.15,$10.97,24.53
2021-03-31,248.79,$10.03,24.82
2020-12-31,234.07,$9.82,23.83
2020-09-30,205.04,$8.76,23.4
2020-06-30,197.04,$9.92,19.85
2020-03-31,138.88,$9.89,14.04
2019-12-31,185.58,$9.10,20.4
2019-09-30,150.04,$8.83,16.99
2019-06-30,148.22,$7.50,19.76
2019-03-31,157.82,$7.39,21.36
2018-12-31,134.62,$9.26,14.53
2018-09-30,166.81,$9.26,18.02
2018-06-30,147.09,$7.31,20.11
2018-03-31,153.35,$6.89,22.27
2017-12-31,172.08,$6.18,27.86
2017-09-30,155.51,$6.88,22.61
2017-06-30,140.67,$8.17,17.22
2017-03-31,134.59,$7.88,17.09
2016-12-31,115.59,$7.34,15.75
2016-09-30,104.59,$6.34,16.5
2016-06-30,97.57,$6.82,14.3
2016-03-31,96.05,$6.86,14.0
2015-12-31,85.98,$7.29,11.8
2015-09-30,84.44,$7.86,10.74
2015-06-30,103.14,$7.61,13.56
2015-03-31,95.49,$7.55,12.65
2014-12-31,91.04,$6.86,13.27
2014-09-30,89.42,$6.39,13.99
2014-06-30,101.33,$6.44,15.74
2014-03-31,100.34,$6.43,15.61
2013-12-31,94.72,$6.33,14.96
2013-09-30,85.29,$6.17,13.83
2013-06-30,65.96,$6.52,10.11
2013-03-31,68.11,$6.25,10.9
2012-12-31,65.9,$6.61,9.97
2012-09-30,54.24,$4.06,13.37
2012-06-30,51.18,$2.61,19.62
2012-03-31,61.41,$2.31,26.58
2011-12-31,56.24,$2.15,26.21
2011-09-30,42.67,$3.64,11.72
2011-06-30,65.65,$2.83,23.18
2011-03-31,71.32,$2.29,31.15
2010-12-31,53.82,$2.05,26.25
2010-09-30,46.09,$2.81,16.39
2010-06-30,36.4,$3.31,10.99
2010-03-31,41.59,$3.71,11.2
2009-12-31,34.48,$3.81,9.06
