Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,104.2,,10.74
2025-01-31,137.91,$9.70,14.22
2024-10-31,148.67,$9.84,15.11
2024-07-31,148.0,$11.42,12.96
2024-04-30,157.31,$9.95,15.81
2024-01-31,134.92,$8.30,16.26
2023-10-31,106.42,$7.95,13.39
2023-07-31,129.94,$3.55,36.56
2023-04-30,149.18,$1.05,142.3
2023-01-31,161.77,$-3.23,0.0
2022-10-31,153.42,$-4.19,0.0
2022-07-31,151.7,$0.61,247.31
2022-04-30,211.42,$4.14,51.03
2022-01-31,202.94,$10.37,19.57
2021-10-31,238.22,$12.06,19.75
2021-07-31,238.69,$12.53,19.05
2021-04-30,188.88,$15.81,11.94
2021-01-31,164.52,$15.67,10.5
2020-10-31,137.66,$14.60,9.43
2020-07-31,113.27,$12.65,8.96
2020-04-30,98.22,$9.75,10.07
2020-01-31,98.57,$8.05,12.24
2019-10-31,94.59,$6.75,14.02
2019-07-31,75.86,$5.89,12.88
2019-04-30,67.37,$4.71,14.31
2019-01-31,62.98,$4.77,13.21
2018-10-31,71.48,$5.03,14.21
2018-07-31,68.43,$6.54,10.46
2018-04-30,61.06,$5.99,10.2
2018-01-31,62.73,$8.06,7.79
2017-10-31,48.73,$8.29,5.88
2017-07-31,46.26,$8.54,5.42
2017-04-30,45.11,$8.33,5.42
2017-01-31,51.6,$6.77,7.62
2016-10-31,54.54,$5.84,9.35
2016-07-31,59.31,$5.20,11.4
2016-04-30,62.13,$5.17,12.01
2016-01-31,56.15,$7.19,7.81
2015-10-31,59.38,$7.47,7.95
2015-07-31,62.53,$6.65,9.4
2015-04-30,59.82,$6.21,9.64
2015-01-31,55.48,$4.33,12.8
2014-10-31,46.24,$5.42,8.53
2014-07-31,44.18,$4.90,9.01
2014-04-30,45.44,$3.80,11.96
2014-01-31,41.36,$7.33,5.64
2013-10-31,47.01,$6.13,7.67
2013-07-31,51.38,$6.74,7.62
2013-04-30,50.62,$7.49,6.75
2013-01-31,43.08,$4.59,9.39
2012-10-31,45.21,$4.32,10.46
2012-07-31,42.76,$3.01,14.21
2012-04-30,40.63,$1.72,23.61
2012-01-31,35.43,$1.61,21.97
2011-10-31,37.96,$1.49,25.42
2011-07-31,35.48,$3.16,11.22
2011-04-30,33.67,$3.98,8.45
2011-01-31,37.42,$4.40,8.5
2010-10-31,35.29,$5.19,6.8
2010-07-31,34.7,$5.35,6.48
2010-04-30,38.34,$5.95,6.44
2010-01-31,34.45,$5.54,6.21
2009-10-31,32.42,$3.32,9.75
