Reborn Coffee Price to Free Cash Flow Ratio Historical Data,Reborn Coffee Price to Free Cash Flow Ratio Historical Data,Reborn Coffee Price to Free Cash Flow Ratio Historical Data,Reborn Coffee Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.74,,23.77
2024-09-30,2.98,$0.20,14.94
2024-06-30,6.97,$2.34,2.98
2024-03-31,1.24,$-0.79,0.0
2023-12-31,0.57,$-0.42,0.0
2023-09-30,0.55,$-0.99,0.0
2023-06-30,0.79,$-4.38,0.0
