NETGEAR Price to Free Cash Flow Ratio Historical Data,NETGEAR Price to Free Cash Flow Ratio Historical Data,NETGEAR Price to Free Cash Flow Ratio Historical Data,NETGEAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.19,,4.61
2024-12-31,27.87,$5.25,5.31
2024-09-30,20.06,$6.50,3.09
2024-06-30,15.3,$3.73,4.1
2024-03-31,15.77,$1.95,8.07
2023-12-31,14.58,$1.74,8.38
2023-09-30,12.59,$-0.33,0.0
2023-06-30,14.16,$-1.75,0.0
2023-03-31,18.51,$-0.40,0.0
2022-12-31,18.11,$-0.67,0.0
2022-09-30,20.04,$-0.41,0.0
2022-06-30,18.52,$-0.44,0.0
2022-03-31,24.68,$-0.84,0.0
2021-12-31,29.21,$-0.47,0.0
2021-09-30,31.91,$0.88,36.22
2021-06-30,38.32,$2.76,13.9
2021-03-31,41.1,$5.02,8.19
2020-12-31,40.63,$5.58,7.29
2020-09-30,30.82,$5.68,5.43
2020-06-30,25.89,$3.52,7.34
2020-03-31,22.84,$2.23,10.25
2019-12-31,24.51,$-0.02,0.0
2019-09-30,32.22,$-6.96,0.0
2019-06-30,25.29,$-5.13,0.0
2019-03-31,33.12,$-6.46,0.0
2018-12-31,52.03,$-3.48,0.0
2018-09-30,62.85,$1.55,40.53
2018-06-30,62.5,$3.54,17.65
2018-03-31,57.2,$3.90,14.67
2017-12-31,58.75,$2.41,24.37
2017-09-30,47.6,$2.30,20.66
2017-06-30,43.1,$0.58,74.63
2017-03-31,49.55,$1.57,31.58
2016-12-31,54.35,$3.20,16.98
2016-09-30,60.49,$3.37,17.96
2016-06-30,47.54,$4.53,10.49
2016-03-31,40.37,$4.85,8.33
2015-12-31,41.91,$2.88,14.58
2015-09-30,29.2,$4.20,6.96
2015-06-30,30.02,$2.44,12.31
2015-03-31,32.88,$2.22,14.79
2014-12-31,35.58,$2.46,14.47
2014-09-30,31.25,$1.70,18.35
2014-06-30,34.77,$1.43,24.25
2014-03-31,33.73,$0.75,44.95
2013-12-31,32.94,$1.77,18.63
2013-09-30,30.86,$1.93,16.02
2013-06-30,30.54,$2.08,14.7
2013-03-31,33.51,$1.83,18.32
2012-12-31,39.43,$1.04,37.93
2012-09-30,38.14,$1.48,25.76
2012-06-30,34.51,$2.09,16.49
2012-03-31,38.2,$2.54,15.06
2011-12-31,33.57,$2.31,14.5
2011-09-30,25.89,$1.90,13.6
2011-06-30,43.72,$1.14,38.25
2011-03-31,32.44,$0.80,40.39
2010-12-31,33.68,$0.49,69.0
2010-09-30,27.01,$0.51,52.62
2010-06-30,17.84,$0.42,42.47
2010-03-31,26.1,$1.11,23.48
2009-12-31,21.69,$1.27,17.12
