Newmont Price to Free Cash Flow Ratio Historical Data,Newmont Price to Free Cash Flow Ratio Historical Data,Newmont Price to Free Cash Flow Ratio Historical Data,Newmont Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.76,,18.52
2024-12-31,37.22,$2.58,14.43
2024-09-30,53.13,$0.76,69.48
2024-06-30,41.42,$0.59,69.91
2024-03-31,35.46,$0.11,329.22
2023-12-31,40.64,$0.12,352.51
2023-09-30,35.93,$0.96,37.36
2023-06-30,41.05,$0.39,105.29
2023-03-31,46.71,$0.99,47.21
2022-12-31,44.56,$1.37,32.53
2022-09-30,39.22,$1.98,19.8
2022-06-30,54.97,$2.99,18.39
2022-03-31,72.59,$3.05,23.79
2021-12-31,56.26,$3.28,17.16
2021-09-30,48.78,$3.81,12.81
2021-06-30,56.4,$4.48,12.58
2021-03-31,53.23,$4.24,12.55
2020-12-31,52.37,$4.44,11.79
2020-09-30,55.11,$3.98,13.84
2020-06-30,53.43,$2.79,19.15
2020-03-31,39.01,$2.01,19.44
2019-12-31,37.33,$1.90,19.61
2019-09-30,32.47,$1.64,19.74
2019-06-30,32.82,$1.51,21.77
2019-03-31,29.64,$2.07,14.29
2018-12-31,28.59,$1.49,19.24
2018-09-30,24.81,$1.42,17.43
2018-06-30,30.84,$1.68,18.31
2018-03-31,31.84,$2.05,15.51
2017-12-31,30.46,$2.35,12.96
2017-09-30,30.39,$2.15,14.13
2017-06-30,26.19,$2.71,9.67
2017-03-31,26.61,$3.00,8.87
2016-12-31,27.47,$3.11,8.84
2016-09-30,31.63,$2.25,14.06
2016-06-30,31.47,$2.10,14.98
2016-03-31,21.37,$1.40,15.29
2015-12-31,14.45,$1.62,8.94
2015-09-30,12.89,$2.43,5.31
2015-06-30,18.71,$1.57,11.93
2015-03-31,17.37,$1.59,10.93
2014-12-31,15.1,$0.80,18.94
2014-09-30,18.4,$0.25,74.78
2014-06-30,20.28,$0.22,92.96
2014-03-31,18.67,$-0.67,0.0
2013-12-31,18.23,$-0.72,0.0
2013-09-30,22.06,$-0.68,0.0
2013-06-30,23.32,$-1.23,0.0
2013-03-31,32.29,$-1.66,0.0
2012-12-31,35.41,$-1.68,0.0
2012-09-30,42.38,$-1.90,0.0
2012-06-30,36.44,$-0.43,0.0
2012-03-31,38.25,$0.24,161.39
2011-12-31,44.49,$1.58,28.13
2011-09-30,46.42,$2.59,17.93
2011-06-30,39.62,$2.61,15.2
2011-03-31,39.91,$3.88,10.29
2010-12-31,44.79,$3.53,12.69
2010-09-30,45.69,$3.81,11.98
2010-06-30,44.8,$4.13,10.83
2010-03-31,36.89,$3.13,11.8
2009-12-31,34.2,$2.42,14.14
