Enzo Biochem Price to Free Cash Flow Ratio Historical Data,Enzo Biochem Price to Free Cash Flow Ratio Historical Data,Enzo Biochem Price to Free Cash Flow Ratio Historical Data,Enzo Biochem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.49,,0.0
2024-10-31,1.05,$-0.44,0.0
2024-07-31,1.04,$-0.53,0.0
2024-04-30,0.95,$-0.86,0.0
2024-01-31,1.15,$-0.92,0.0
2023-10-31,1.22,$-0.89,0.0
2023-07-31,1.35,$-0.81,0.0
2023-04-30,2.31,$-0.64,0.0
2023-01-31,1.22,$-0.57,0.0
2022-10-31,1.95,$-0.46,0.0
2022-07-31,2.16,$-0.41,0.0
2022-04-30,2.33,$-0.25,0.0
2022-01-31,2.94,$-0.20,0.0
2021-10-31,3.14,$-0.19,0.0
2021-07-31,2.97,$-0.08,0.0
2021-04-30,2.8,$-0.19,0.0
2021-01-31,2.57,$-0.29,0.0
2020-10-31,1.66,$-0.39,0.0
2020-07-31,2.17,$-0.41,0.0
2020-04-30,2.76,$-0.35,0.0
2020-01-31,2.29,$0.21,10.7
2019-10-31,2.88,$0.02,137.28
2019-07-31,3.57,$-0.07,0.0
2019-04-30,3.17,$-0.04,0.0
2019-01-31,3.43,$-0.55,0.0
2018-10-31,3.03,$-0.28,0.0
2018-07-31,4.03,$-0.10,0.0
2018-04-30,5.47,$-0.02,0.0
2018-01-31,6.71,$0.03,231.53
2017-10-31,8.99,$0.02,416.02
2017-07-31,9.9,$-0.04,0.0
2017-04-30,8.03,$0.70,11.51
2017-01-31,6.09,$0.62,9.83
2016-10-31,5.56,$0.82,6.83
2016-07-31,6.36,$1.11,5.74
2016-04-30,4.54,$0.42,10.79
2016-01-31,4.32,$0.45,9.64
2015-10-31,3.39,$0.22,15.38
2015-07-31,2.74,$-0.12,0.0
2015-04-30,2.55,$-0.19,0.0
2015-01-31,2.87,$-0.10,0.0
2014-10-31,4.76,$-0.04,0.0
2014-07-31,4.38,$-0.06,0.0
2014-04-30,3.83,$-0.12,0.0
2014-01-31,2.56,$-0.27,0.0
2013-10-31,2.27,$-0.32,0.0
2013-07-31,1.99,$-0.28,0.0
2013-04-30,2.04,$-0.23,0.0
2013-01-31,2.64,$-0.21,0.0
2012-10-31,1.82,$-0.17,0.0
2012-07-31,1.37,$-0.19,0.0
2012-04-30,2.5,$-0.28,0.0
2012-01-31,2.33,$-0.28,0.0
2011-10-31,2.61,$-0.26,0.0
2011-07-31,3.5,$-0.25,0.0
2011-04-30,3.64,$-0.19,0.0
2011-01-31,4.52,$-0.36,0.0
2010-10-31,3.93,$-0.39,0.0
2010-07-31,4.2,$-0.44,0.0
2010-04-30,5.45,$-0.50,0.0
2010-01-31,4.32,$-0.38,0.0
2009-10-31,5.03,$-0.48,0.0
