POET Technologies Price to Free Cash Flow Ratio Historical Data,POET Technologies Price to Free Cash Flow Ratio Historical Data,POET Technologies Price to Free Cash Flow Ratio Historical Data,POET Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.27,,0.0
2024-09-30,4.44,$-0.35,0.0
2024-06-30,2.07,$-0.40,0.0
2024-03-31,1.37,$-0.40,0.0
2023-12-31,0.94,$-0.41,0.0
2023-09-30,3.06,$-0.45,0.0
2023-06-30,4.41,$-0.41,0.0
2023-03-31,3.88,$-0.42,0.0
2022-12-31,3.02,$-0.42,0.0
