Moelis Price to Free Cash Flow Ratio Historical Data,Moelis Price to Free Cash Flow Ratio Historical Data,Moelis Price to Free Cash Flow Ratio Historical Data,Moelis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.5,,11.16
2024-12-31,73.88,$5.42,13.63
2024-09-30,67.89,$2.71,25.08
2024-06-30,55.79,$2.92,19.12
2024-03-31,55.06,$1.95,28.3
2023-12-31,53.86,$2.07,26.02
2023-09-30,42.69,$2.42,17.67
2023-06-30,42.36,$2.22,19.05
2023-03-31,35.3,$2.17,16.29
2022-12-31,34.78,$0.38,90.46
2022-09-30,30.24,$4.28,7.07
2022-06-30,34.73,$7.05,4.93
2022-03-31,40.86,$9.92,4.12
2021-12-31,53.75,$13.45,4.0
2021-09-30,51.08,$13.05,3.91
2021-06-30,46.5,$10.02,4.64
2021-03-31,42.82,$7.51,5.7
2020-12-31,36.12,$6.40,5.64
2020-09-30,25.68,$4.79,5.37
2020-06-30,22.59,$4.33,5.22
2020-03-31,20.19,$4.40,4.59
2019-12-31,22.17,$3.65,6.07
2019-09-30,22.5,$3.35,6.72
2019-06-30,23.59,$5.21,4.53
2019-03-31,27.7,$5.17,5.35
2018-12-31,22.03,$7.57,2.91
2018-09-30,34.72,$7.04,4.93
2018-06-30,36.01,$5.37,6.7
2018-03-31,30.95,$7.00,4.42
2017-12-31,28.45,$6.04,4.71
2017-09-30,25.04,$8.97,2.79
2017-06-30,22.39,$10.94,2.05
2017-03-31,21.41,$10.92,1.96
2016-12-31,18.67,$9.43,1.98
2016-09-30,14.13,$8.66,1.63
2016-06-30,11.68,$8.46,1.38
2016-03-31,14.49,$8.45,1.72
2015-12-31,14.34,$6.50,2.21
2015-09-30,12.77,$7.35,1.74
2015-06-30,13.82,$8.69,1.59
2015-03-31,14.4,$8.63,1.67
