A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data,A O Smith Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,66.71,,20.71
2024-12-31,68.21,$3.22,21.17
2024-09-30,89.43,$3.26,27.41
2024-06-30,81.11,$3.21,25.29
2024-03-31,88.39,$3.81,23.2
2023-12-31,81.13,$3.96,20.5
2023-09-30,64.78,$3.63,17.87
2023-06-30,71.0,$3.47,20.48
2023-03-31,67.16,$2.76,24.36
2022-12-31,55.32,$2.06,26.84
2022-09-30,46.69,$2.50,18.67
2022-06-30,52.31,$2.64,19.83
2022-03-31,60.84,$3.00,20.31
2021-12-31,81.45,$3.51,23.21
2021-09-30,57.71,$3.36,17.16
2021-06-30,67.84,$3.18,21.36
2021-03-31,63.41,$3.39,18.7
2020-12-31,51.18,$3.11,16.47
2020-09-30,49.06,$2.77,17.71
2020-06-30,43.57,$2.67,16.35
2020-03-31,34.77,$2.60,13.37
2019-12-31,43.57,$2.35,18.54
2019-09-30,43.42,$2.16,20.11
2019-06-30,42.72,$1.98,21.62
2019-03-31,48.11,$1.97,24.46
2018-12-31,38.35,$2.11,18.16
2018-09-30,47.7,$2.19,21.78
2018-06-30,52.71,$1.89,27.84
2018-03-31,56.5,$1.64,34.44
2017-12-31,54.3,$1.33,40.83
2017-09-30,52.54,$1.39,37.81
2017-06-30,49.67,$1.62,30.71
2017-03-31,44.99,$1.87,24.08
2016-12-31,41.52,$2.07,20.06
2016-09-30,43.2,$1.69,25.56
2016-06-30,38.43,$2.05,18.71
2016-03-31,33.18,$1.68,19.71
2015-12-31,33.19,$1.56,21.3
2015-09-30,28.18,$1.47,19.2
2015-06-30,31.03,$0.93,33.3
2015-03-31,28.22,$0.97,29.21
2014-12-31,24.17,$0.98,24.72
2014-09-30,20.2,$0.86,23.48
2014-06-30,21.12,$0.84,25.26
2014-03-31,19.54,$0.83,23.63
2013-12-31,22.83,$0.98,23.29
2013-09-30,19.08,$0.90,21.21
2013-06-30,15.27,$0.90,17.0
2013-03-31,15.43,$0.52,29.6
2012-12-31,13.19,$0.40,33.24
2012-09-30,12.0,$0.75,15.92
2012-06-30,10.15,$0.48,21.06
2012-03-31,9.3,$0.33,28.17
2011-12-31,8.27,$0.03,296.53
2011-09-30,6.58,$-0.35,0.0
2011-06-30,8.65,$-0.40,0.0
2011-03-31,9.04,$0.16,56.76
2010-12-31,7.74,$0.39,20.05
2010-09-30,7.83,$0.57,13.73
2010-06-30,6.5,$0.93,6.99
2010-03-31,7.07,$1.24,5.68
2009-12-31,5.82,$1.20,4.84
