ON24 Price to Free Cash Flow Ratio Historical Data,ON24 Price to Free Cash Flow Ratio Historical Data,ON24 Price to Free Cash Flow Ratio Historical Data,ON24 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.38,,87.62
2024-12-31,6.46,$0.06,105.21
2024-09-30,6.12,$0.01,501.64
2024-06-30,6.01,$-0.07,0.0
2024-03-31,7.14,$-0.20,0.0
2023-12-31,7.88,$-0.32,0.0
2023-09-30,6.33,$-0.47,0.0
2023-06-30,8.12,$-0.47,0.0
2023-03-31,8.76,$-0.44,0.0
2022-12-31,8.63,$-0.51,0.0
2022-09-30,8.8,$-0.44,0.0
2022-06-30,9.49,$-0.39,0.0
2022-03-31,13.15,$-0.22,0.0
2021-12-31,17.35,$0.04,465.15
